ID_da_instituicao	Publicacoes
451900000007	15
J0KV00000000	10
IXJV00000009	6
J0AV00000000	2
553100000005	15
002300000002	4
155600000005	29
985600107511	2
J6B200000003	3
985600070219	19
070300000007	24
195600000004	26
J7T800000007	10
286800000005	28
J8JD00000005	2
985600196549	14
336500000000	30
J94400000003	17
J01E00000003	5
J6NH00000009	36
455300000009	10
861000000003	9
985600155656	43
IY1I00000003	6
IYUL00000002	3
134800000006	94
985601228118	4
IYC900000003	17
JS9O00000007	15
074300000000	23
JGLO00000007	17
566400000002	12
JNTI00000008	3
841700000001	31
032601005056	20
088200000008	10
528500000001	2
JAH000000005	6
JFT200000001	14
072500000007	24
336800000005	6
414600000007	8
J17W00000006	6
827900000000	8
075700000005	38
JGAO00000009	3
GFLO00000000	1
JGG200000004	14
419800000001	33
768300000000	3
985600701642	6
J88L00000003	14
J17E00000000	5
IVH200000000	1
166700000002	27
IY4D00000009	19
J3XY00000001	6
J19C00000002	11
002600000008	5
J0UF00000007	2
J1JP00000008	102
J7ZO00000007	36
IZZ100000000	6
985600170892	7
J04Y00000008	11
005100000003	9
IVBB00000009	3
J7QZ00000007	8
IZYV00000002	7
985600002310	3
985600197952	2
385300000004	2
286200000004	10
IVJW00000006	3
003700000997	8
J2UF00000001	14
002800000990	51
HHPY00000004	11
192600000000	3
156100000004	4
JN4000000002	3
003000000994	24
032601005013	23
985600043181	15
IYSC00000000	2
490100000003	8
064100000009	11
JCI900000004	5
000501005048	21
064300000002	4
985601336778	6
097600000004	5
375700000004	42
767400000003	1
818300000000	4
985600431459	7
177500000004	13
116000000003	7
174300000006	20
522600000004	6
985600154048	40
004800000008	25
985600203677	3
J2KO00000000	3
J0ZA00000009	3
GZM800000006	5
032601006028	20
J11I00000008	4
985600140845	13
JCIQ00000009	2
888300000000	2
J1AT00000001	23
J0G300000002	8
331400000007	3
985600433982	4
IX7N00000006	5
032601005048	54
985601345955	8
985600146207	10
985600042886	13
985600198339	18
IXMQ00000000	6
586200000003	12
041600000009	35
IXXP00000007	3
IZ8I00000008	9
J35500000000	10
I7PM00000007	32
JL6J00000000	9
IZ8J00000000	6
0U5300000007	2
J8EF00000008	10
J27M00000003	1
559400000000	4
JA6O00000004	11
J3XQ00000005	9
985600042746	4
449900000005	5
JNM600000007	15
J9W800000004	15
873100000009	11
J0MF00000003	2
023400000007	9
JAF000000009	3
884500000001	36
JOUV00000009	2
043400000001	10
JUC100000006	14
010800000002	3
985600077051	11
985600143283	12
920771000008	2
J6G600000001	10
JAEG00000001	17
092700000005	4
010000000008	6
464400000000	5
200200000007	124
JME100000007	2
985600406756	33
124000000004	15
790100000002	19
J10F00000004	2
551700000000	6
J4BE00000002	5
000501004025	9
J1OA00000008	1
J13N00000005	12
HBDU00000007	2
IZT700000004	17
IY9V00000006	23
000501006010	19
911900000000	3
J13A00000000	1
601200000000	28
852800000009	3
985600209497	4
615500000006	11
IX0E00000000	9
003300000990	5
JGGO00000008	5
IXOI00000000	3
444300000003	32
J0W700000007	22
985600159937	8
427000000008	12
353400000008	3
J97800000005	12
554700000004	6
420900000007	23
IZEP00000000	3
833400000005	2
JF9S00000002	13
IYAY00000008	9
870200000006	8
404300000004	20
985600188139	4
J3UD00000005	26
771100000006	7
J2E200000009	5
J09100000003	8
069300000003	1
861700000006	3
J9NR00000000	4
281800000004	7
H22V00000008	5
IX1000000001	1
031100000002	11
IYDQ00000006	9
J24H00000008	9
J8GJ00000001	9
J76M00000001	4
IZY100000002	5
985600074036	1
503300000002	21
JHZP00000009	5
869800000003	39
JSMM00000006	56
212000000007	1
J6E100000006	2
J1VQ00000004	9
J62V00000000	12
985600041944	9
114200000000	3
IXU900000000	4
447900000009	3
J38H00000008	3
0WUI00000000	3
JAU400000005	7
439300000007	1
768800000009	2
IYXD00000000	2
985606567018	4
880600000000	4
851700000009	6
985600043971	16
985600393360	2
361800000006	49
633800000000	3
J4M300000009	11
IXEN00000001	11
AT0700000009	4
J94A00000006	18
985600073242	35
483800000003	1
JOK600000008	14
489900000004	27
IXXF00000007	2
J1RP00000001	3
JO2400000000	6
035000000003	23
985600178346	3
985600165805	18
659500000008	4
391100000005	8
JAS700000006	37
GFKI00000000	5
015500000008	35
J8ZF00000006	5
IXUY00000000	6
IXV100000003	17
J6TL00000007	5
J8X800000005	2
JAHE00000002	9
J12P00000000	1
J88G00000002	4
JCPU00000003	3
J69S00000000	3
153900000004	19
060100000006	9
J17Z00000001	8
193500000006	3
013300000008	7
985600139847	3
IXN100000000	1
JAA700000000	1
IXIZ00000008	7
091400000001	10
623700000000	3
IZS100000005	7
873300000002	13
210000000000	10
046700000001	2
603500000002	2
J1JO00000006	2
985600222868	5
118400000007	11
174400000008	32
985600078929	9
985600657104	28
761300000002	80
492800000002	10
503900000003	3
JCQK00000001	4
J86S00000000	3
IY6D00000005	14
985600209462	2
985600394820	12
H24A00000002	3
761800000001	15
985600153688	4
003400000991	19
872500000008	5
IYRS00000002	15
000800000005	4
458800000002	3
J20V00000004	10
574900000002	12
IYIQ00000007	19
JARS00000000	6
100400000004	4
432700000007	8
000504001035	31
GEOC00000004	4
J4HL00000006	2
985601113523	3
985600187930	11
841200000002	1
JDWY00000003	6
IDQ300000008	2
985600043408	3
421200000002	3
025600000007	2
JHUP00000008	2
628700000001	6
985600419670	2
985600042851	5
004200000007	8
J8UJ00000002	2
881500000007	3
J0RV00000007	6
JL3K00000000	3
IZFY00000006	7
136200000001	13
IXRA00000000	4
985600199645	9
985601110958	4
J0QS00000001	3
985600070170	23
J3TM00000007	8
805400000000	1
JHY900000008	4
0OUA00000000	11
J01V00000008	4
951100000004	9
J8UT00000002	3
824100000000	3
415200000008	3
JCKL00000004	4
985600155915	20
830900000000	6
985601114120	2
J09G00000002	7
JCJT00000002	5
J91P00000000	15
904100000002	8
893300000007	1
985607399712	1
499800000000	1
580000000000	19
985600093650	1
J76500000007	4
IANL00000008	2
985600458080	2
985600444798	9
985600728460	5
577500000000	4
JHUE00000006	7
J2GK00000001	10
IVGJ00000004	3
JG0Z00000000	5
562700000005	3
IYKU00000000	2
J2DM00000000	1
J7EE00000009	11
JPCX00000006	3
985601361918	2
028300000006	5
JQLR00000002	5
985600203669	8
985608320567	2
JG4900000000	4
985600190540	6
985600199408	5
IZO700000003	13
J8PZ00000006	51
985607506861	1
456000000001	2
034500000004	137
JFBQ00000003	3
121000000000	5
532100000002	4
000503001015	2
985600086387	2
J7SZ00000003	1
472400000000	23
004500000991	6
J01Y00000003	5
J6PW00000006	17
J5J200000001	6
J3A400000007	7
J05E00000006	11
J5BJ00000009	96
353000000000	5
JNL000000008	5
IZUQ00000009	9
J03K00000002	2
352300000008	4
063800000003	6
J8LC00000008	2
854000000000	1
985600214059	1
J6O400000001	6
J8E900000005	1
J9CU00000000	9
985600761696	9
JGCF00000007	23
IY4U00000003	17
452100000000	2
985601017931	14
J67700000001	3
IX9C00000000	4
985600205548	4
JCQX00000007	4
610800000000	13
876100000003	2
234600000009	3
J0Q500000006	13
IYHN00000003	8
J23K00000007	4
ICQ400000002	7
455400000000	3
IY6A00000000	4
064000000007	7
B3OT00000008	4
570900000000	2
J2C800000003	3
028100000002	6
J4JK00000000	13
174800000005	1
611700000007	2
IXJQ00000008	2
985600908859	4
IZHM00000009	7
431300000001	1
985600187752	4
039600000007	1
985600042606	16
985600390493	1
JNI000000005	10
IVKZ00000008	3
985600169142	16
776100000007	1
985600082896	3
J33S00000009	4
IXVL00000003	9
IYA500000000	6
879100000008	1
057500000003	2
064200000000	9
985600042142	2
J0GX00000002	6
HVL300000006	2
214300000009	5
IYSS00000000	7
J72U00000005	4
985600166534	12
IX3D00000003	3
461100000000	7
985600200260	2
985600156377	15
985600072017	9
985600509512	9
JCHH00000002	3
211700000001	6
000502004037	3
JCY300000000	1
326500000002	16
J3EZ00000001	7
880400000007	3
454300000000	14
J90Y00000000	11
IZWC00000008	6
J1DY00000007	3
985606880727	6
016200000000	1
113800000003	3
J6Z800000007	4
985600219433	8
JIGJ00000001	4
J9JJ00000003	5
JAJF00000000	2
985600132257	4
527400000001	3
J7Y600000002	7
553600000004	1
JAMG00000005	3
IXCW00000003	15
JDD200000008	14
J5EK00000007	11
179900000008	2
000502001011	25
407800000008	8
232600000002	25
770000000006	1
021500000002	7
B3OJ00000008	4
985600160412	2
985600137704	12
004000000992	85
985600089670	2
J4LF00000004	6
014400000008	3
762400000002	12
IXCD00000005	3
IZ3P00000001	1
J1RN00000008	3
004100000994	6
IXJ000000007	2
747100000003	3
032601004017	11
IYXK00000005	2
C9D200000007	12
985600156113	7
JCPF00000002	3
IXZS00000009	17
037700000002	4
457500000009	12
JM1U00000000	3
985600160714	6
J94900000002	4
J1SP00000000	2
J2GL00000003	16
015200000002	2
J6Q400000008	3
JUCV00000006	6
JAO300000006	10
154700000009	2
IVKP00000008	2
899900000007	25
062500000000	1
JACD00000000	3
405100000009	2
JL7K00000002	2
J0IX00000009	4
0ART00000004	3
273900000005	6
0UMX00000002	1
J73L00000005	1
368600000000	2
898700000005	4
JHYO00000009	4
J0M700000007	8
IZBD00000001	2
772100000004	4
JDXK00000004	3
874400000002	5
985600085429	1
J4T600000001	6
859100000003	4
985607362983	1
IYNL00000007	4
IWJH00000002	1
032601005064	4
985600482410	1
546500000000	1
985600042002	5
JAKN00000003	1
005400000998	7
JCM000000009	4
JAX800000007	1
J2IP00000007	2
J6NJ00000002	1
985600043882	2
IYN400000002	4
985600042029	2
IZZS00000003	2
J41G00000006	4
630300000006	1
083900000000	7
JAXE00000000	3
985600203685	6
HEAK00000004	2
032602003049	1
IWUM00000000	2
404800000003	2
433100000004	9
J1W600000002	13
II2600000007	1
H1QJ00000008	6
J3PL00000002	2
985600216930	2
JHTG00000003	9
470700000000	1
011300000001	1
IZEC00000004	3
624800000000	1
985600088274	1
985600163969	7
JN4X00000008	2
295900000006	1
985600106531	2
003800000000	4
405400000004	4
J6DP00000005	3
IWU200000000	1
985600089262	2
J1MX00000007	3
J4FW00000001	8
192700000001	3
J4CK00000003	2
376000000000	10
J0LU00000006	1
IWT500000009	1
985600107520	2
864900000004	4
003800000999	5
057900000000	2
871600000001	11
930118000003	40
0VUT00000004	8
985600070057	3
J2CS00000003	11
J90W00000007	3
985600183978	3
985607401296	2
IYPZ00000000	3
456900000008	3
J08V00000005	3
J2FX00000009	4
J8WL00000004	1
JNWE00000003	2
IZMN00000000	4
853600000003	3
985600044200	1
383600000003	2
985600191920	2
000504002023	15
985601345769	2
985600206560	1
985600561310	2
I50400000005	1
985600043203	2
178600000004	3
IYT100000006	9
J7ES00000006	1
IXRF00000000	2
985600990970	5
IY4J00000000	1
873500000006	1
794500000002	4
985600154056	1
985600401134	7
IYIA00000006	2
0W5Q00000007	1
253800000009	1
032604003020	9
985607399968	2
0O2I00000000	1
434600000001	1
396900000000	1
JP5W00000009	10
985600208725	4
881000000008	1
DBS000000002	1
985600178648	2
534700000000	3
IYC500000006	2
451600000001	1
863600000000	5
109800000005	1
J0GE00000004	2
J1L900000000	1
531700000005	4
J00N00000003	2
985600726106	1
586500000009	1
202900000006	1
035500000002	1
IZWQ00000005	3
291600000008	7
832200000003	3
089000000002	1
560600000007	1
J4JR00000003	2
JAL200000000	12
896100000008	3
326600000004	2
071900000006	6
048200000009	1
GFKM00000009	1
544300000000	1
GFKL00000007	2
JMQI00000006	3
841300000004	6
0W6200000008	3
JABI00000000	1
