ID_da_instituicao	Ano	Publicacoes
754000000004	2015	37
754000000004	2013	31
833700000000	2012	21
008300000001	2015	201
008300000001	2014	208
033600000008	2015	177
033600000008	2014	151
033600000008	2013	186
033600000008	2012	184
033600000008	2011	174
033600000008	2010	185
985601346269	2012	1
985601346269	2011	2
530400000001	2012	15
530400000001	2010	16
001500000008	2012	270
021100000005	2012	100
000400000997	2014	229
584200000007	2014	47
584200000007	2011	56
033500000006	2013	242
033500000006	2010	247
413700000000	2010	20
832500000009	2015	85
173800000007	2014	17
173800000007	2012	12
173800000007	2011	12
985600908867	2013	2
032300000004	2013	123
JLDY00000007	2010	15
024800000002	2010	29
059100000002	2010	113
000300000995	2010	169
029100000000	2015	221
059100000002	2015	61
059100000002	2014	56
059100000002	2013	68
059100000002	2012	71
059100000002	2011	71
584200000007	2010	42
I22A00000002	2013	89
I22A00000002	2012	62
104300000005	2014	6
104300000005	2012	5
985600126826	2013	11
807700000001	2011	37
004500000002	2013	215
749000000008	2013	64
749000000008	2010	56
002500000995	2015	25
002500000995	2014	31
002500000995	2013	15
002500000995	2012	14
020700000008	2015	115
020700000008	2013	102
020700000008	2011	98
005900000008	2015	108
005900000008	2014	87
005900000008	2010	82
884900000009	2011	36
J2HF00000009	2012	48
J1TW00000002	2014	9
J1TW00000002	2012	5
516400000006	2012	9
516400000006	2010	2
JA2300000000	2013	10
008000000006	2015	159
J1WM00000005	2014	19
J1WM00000005	2013	7
J1WM00000005	2012	12
J1WM00000005	2011	19
J1WM00000005	2010	16
431200000000	2013	23
IZCF00000003	2014	108
IZCF00000003	2013	118
IZCF00000003	2012	107
IZCF00000003	2011	106
IZCF00000003	2010	94
311500000004	2010	14
020700000008	2012	151
J4D600000002	2012	66
985600435462	2012	1
J8LU00000004	2015	28
J8LU00000004	2014	28
047500000006	2014	31
201100000003	2015	68
201100000003	2014	70
201100000003	2013	57
201100000003	2012	58
898800000007	2010	2
008000000006	2011	166
810400000006	2014	32
810400000006	2013	42
J1OR00000000	2011	25
J1OR00000000	2010	38
005900000008	2011	80
002100000998	2015	28
002100000998	2014	19
002100000998	2013	24
002100000998	2012	26
002100000998	2011	28
002100000998	2010	26
081500000006	2015	33
081500000006	2014	36
081500000006	2010	40
008300000001	2012	200
460900000006	2010	50
892700000006	2014	37
J1OU00000008	2015	10
J1OU00000008	2014	11
J1OU00000008	2013	7
IWU400000003	2014	181
IWU400000003	2012	151
IWU400000003	2010	144
377800000002	2014	29
000200000993	2015	194
000200000993	2014	241
000200000993	2012	268
IWU400000003	2011	168
000700000992	2014	108
081100000009	2010	80
000500000000	2013	271
670900000006	2015	2
004400000000	2012	168
024000000008	2011	288
024000000008	2010	297
J1OR00000000	2015	27
001400000995	2013	117
001400000995	2012	66
001400000995	2011	108
008200000000	2013	112
000300000995	2014	152
000300000995	2013	171
IWU400000003	2015	176
007700000000	2014	79
007700000000	2012	66
007700000000	2010	82
006100000001	2015	18
006100000001	2012	17
J8LU00000004	2012	30
J8LU00000004	2010	17
016700000000	2013	117
810400000006	2015	26
810400000006	2012	35
000300000995	2012	174
829000000000	2011	50
501600000001	2015	39
501600000001	2014	65
501600000001	2013	52
501600000001	2012	64
501600000001	2011	49
501600000001	2010	59
169700000007	2014	93
551400000004	2013	14
551400000004	2012	14
551400000004	2011	17
117800000006	2010	57
023100000001	2015	16
023100000001	2014	23
023100000001	2012	13
023100000001	2010	16
J1HP00000001	2012	45
158700000001	2015	76
158700000001	2013	37
553800000008	2013	100
319000000000	2011	42
894500000009	2012	25
J3Y700000005	2013	8
J3Y700000005	2010	16
J03D00000008	2010	8
553800000008	2011	99
502700000001	2010	20
061500000001	2014	21
061500000001	2010	18
007000000008	2014	196
000500000000	2014	257
416900000009	2010	2
823700000003	2014	36
823700000003	2012	28
823700000003	2010	28
505800000008	2015	33
020700000008	2014	124
020700000008	2010	91
001800000003	2010	7
007100000000	2010	45
985600191016	2012	2
061500000001	2015	21
121100000001	2015	26
121100000001	2014	37
121100000001	2012	31
001800000992	2013	26
001800000992	2012	30
001800000992	2010	36
000400000997	2015	204
000400000997	2013	156
000400000997	2012	173
000400000997	2011	157
000400000997	2010	165
841500000008	2015	122
841500000008	2014	47
841500000008	2013	133
841500000008	2012	44
841500000008	2011	43
000400000008	2015	19
000400000008	2013	32
000400000008	2012	27
000400000008	2011	33
158700000001	2014	46
158700000001	2012	51
158700000001	2011	56
158700000001	2010	25
000100000002	2014	116
309500000002	2013	46
309500000002	2012	33
169700000007	2013	91
GBIM00000005	2012	4
001600000999	2014	40
121100000001	2011	29
