ID_da_instituicao	ID_da_disciplina	Ano	Publicacoes
460900000006	12	2013	5
033700000000	1	2015	30
033700000000	10	2014	19
033700000000	10	2013	20
033700000000	1	2012	30
033700000000	11	2012	15
033700000000	11	2011	15
033700000000	12	2011	24
033700000000	1	2010	28
033700000000	11	2010	13
002100000009	13	2011	20
870400000000	13	2013	4
171500000005	10	2015	4
171500000005	3	2013	8
171500000005	12	2012	4
171500000005	3	2012	9
171500000005	8	2012	2
171500000005	3	2011	6
171500000005	3	2010	10
171500000005	12	2010	5
032700000001	12	2013	27
032700000001	12	2012	17
032700000001	12	2011	22
032700000001	12	2010	18
306200000002	5	2011	8
306200000002	5	2010	9
I22A00000002	11	2015	6
I22A00000002	11	2014	8
I22A00000002	11	2011	3
I22A00000002	11	2010	5
019200000005	4	2015	44
019200000005	4	2014	47
019200000005	4	2013	49
019200000005	2	2013	11
019200000005	11	2012	21
019200000005	4	2012	47
019200000005	4	2010	44
019200000005	2	2010	11
019200000005	13	2010	32
027200000006	5	2013	6
027200000006	12	2013	3
027200000006	13	2013	1
027200000006	10	2012	3
027200000006	5	2012	4
027200000006	1	2011	3
027200000006	12	2011	1
027200000006	5	2011	6
027200000006	13	2011	2
027200000006	6	2011	1
027200000006	5	2010	3
005900000008	5	2012	15
004400000000	1	2014	34
033400000004	4	2015	20
033400000004	4	2014	14
033400000004	10	2013	8
033400000004	4	2013	21
033400000004	4	2011	21
033400000004	1	2011	13
006700000002	1	2015	41
032600000000	5	2014	19
029100000000	3	2014	50
029100000000	3	2013	46
029100000000	3	2012	34
029100000000	3	2011	44
892700000006	1	2015	14
892700000006	1	2013	11
892700000006	1	2012	11
010300000003	5	2014	24
003900000001	3	2014	52
003900000001	3	2011	53
003900000001	8	2011	16
006700000002	12	2015	60
832500000009	1	2010	21
006700000002	4	2011	55
884100000004	8	2010	1
007000000008	13	2012	7
020100000007	13	2014	1
020100000007	13	2013	3
653900000006	5	2015	3
032700000001	11	2013	14
032700000001	11	2012	9
033000000007	5	2014	28
033000000007	4	2013	49
033000000007	4	2012	45
033000000007	11	2011	26
007900000004	8	2015	21
007900000004	8	2014	23
007900000004	12	2014	58
007900000004	8	2013	24
007900000004	12	2013	49
007900000004	8	2012	22
007900000004	12	2010	40
007900000004	8	2010	21
008900000002	10	2015	18
008900000002	12	2015	24
008900000002	10	2014	17
008900000002	2	2011	8
008900000002	2	2010	10
004500000002	5	2012	16
004500000002	5	2011	21
482000000000	7	2012	1
006700000002	1	2013	42
006700000002	2	2010	11
J32200000000	12	2015	8
J32200000000	3	2015	8
J32200000000	8	2014	4
J32200000000	12	2014	6
J32200000000	3	2014	2
J32200000000	8	2013	2
J32200000000	3	2013	8
J32200000000	12	2013	8
J32200000000	10	2013	7
J32200000000	2	2013	5
J32200000000	10	2012	8
J32200000000	3	2012	5
008900000002	12	2013	29
008900000002	8	2012	11
008900000002	12	2012	25
008900000002	3	2011	37
032900000005	5	2015	23
032900000005	3	2015	33
032900000005	1	2015	34
032900000005	10	2015	19
032900000005	2	2014	8
032900000005	5	2014	22
032900000005	10	2014	16
032900000005	1	2014	27
032900000005	3	2013	20
032900000005	1	2013	25
032900000005	2	2013	6
032900000005	8	2012	6
032900000005	10	2012	16
032900000005	10	2011	18
032900000005	3	2010	17
168400000003	1	2012	1
168400000003	1	2010	1
008000000006	12	2010	19
008000000006	13	2010	5
009200000008	5	2014	27
009200000008	1	2013	38
002100000009	3	2015	40
014000000000	3	2010	6
033500000006	5	2015	27
033500000006	5	2014	29
