ID_da_instituicao	nome_da_instituicao	ID_da_microregiao	ID_da_mesoregiao	ID_do_estado	Publicacoes_Disciplina_Biologia	Publicacoes_Disciplina_Biotecnologia	Publicacoes_Disciplina_Especialidades_Medicas	Publicacoes_Disciplina_Engenharias_Civil_Mecanica_e_Quimica	Publicacoes_Disciplina_Quimica	Publicacoes_Disciplina_Ciencias_da_Natureza	Publicacoes_Disciplina_Engenharia_Eletrica_e_Ciencias_da_Computacao	Publicacoes_Disciplina_Pesquisas_Neurologicas	Publicacoes_Disciplina_Humanas	Publicacoes_Disciplina_Doencas_Infecciosas	Publicacoes_Disciplina_Matematica_e_Fisica	Publicacoes_Disciplina_Profissionais_da_Saude	Publicacoes_Disciplina_Ciencias_Sociais	Total_Publicacoes
778500000000	FACULDADE DE CIENCIAS MEDICAS DA SANTA CASA DE SAO PAULO	35061	3515	35	3	1	13	0	1	0	0	10	0	5	0	15	1	49
308200000009	HOSPITAL NOSSA SENHORA DA CONCEICAO	43026	4305	43	0	0	4	0	0	0	0	3	0	1	0	3	0	11
288200000000	UNIVERSIDADE CATOLICA DOM BOSCO	50004	5002	50	4	1	0	1	1	0	0	0	0	7	0	1	2	17
010600000009	UNIVERSIDADE FEDERAL DE GOIAS	52010	5203	52	37	7	41	22	22	7	8	15	4	20	15	37	15	250
F3V900000009	INSTITUTO FEDERAL GOIANO	52013	5205	52	19	3	0	6	3	1	0	1	0	5	3	5	3	49
004000000003	UNIVERSIDADE ESTADUAL DO CEARA	23016	2303	23	8	4	9	4	10	1	2	4	0	11	3	10	2	68
811900000003	UNIVERSIDADE FEDERAL DE RORAIMA	25017	2503	25	7	1	2	1	6	1	0	1	0	4	2	2	1	28
446900000000	UNIVERSIDADE FEDERAL DE CAMPINA GRANDE	25017	2503	25	15	4	4	16	7	5	15	3	0	9	16	5	4	103
008700000009	INSTITUTO NACIONAL DE PESQUISAS ESPACIAIS	43018	4303	43	13	3	16	15	6	13	15	5	0	10	14	1	3	114
001500000008	UNIVERSIDADE FEDERAL DE UBERLANDIA	31018	3105	31	31	9	35	25	23	4	11	9	1	18	12	26	14	218
350700000009	CENTRO FEDERAL DE EDUCACAO TECNOLOGICA CELSO SUCKOW DA FONSECA	33018	3306	33	2	0	0	7	6	1	4	1	0	0	10	1	3	35
039200000000	UNIVERSIDADE FEDERAL DO ESPIRITO SANTO	32005	3202	32	31	6	34	27	23	17	9	15	2	18	15	21	14	232
