ID_da_instituicao	nome_da_instituicao	ID_da_microregiao	ID_da_mesoregiao	ID_do_estado	Publicacoes_Disciplina_Biologia	Publicacoes_Disciplina_Biotecnologia	Publicacoes_Disciplina_Especialidades_Medicas	Publicacoes_Disciplina_Engenharias_Civil_Mecanica_e_Quimica	Publicacoes_Disciplina_Quimica	Publicacoes_Disciplina_Ciencias_da_Natureza	Publicacoes_Disciplina_Engenharia_Eletrica_e_Ciencias_da_Computacao	Publicacoes_Disciplina_Pesquisas_Neurologicas	Publicacoes_Disciplina_Humanas	Publicacoes_Disciplina_Doencas_Infecciosas	Publicacoes_Disciplina_Matematica_e_Fisica	Publicacoes_Disciplina_Profissionais_da_Saude	Publicacoes_Disciplina_Ciencias_Sociais	Total_Publicacoes
081500000006	UNIVERSIDADE DO SAGRADO CORACAO	35020	3504	35	39	11	28	18	11	6	3	12	0	11	1	64	7	211
IWU400000003	UNIVERSIDADE FEDERAL DO ABC	35061	3515	35	99	35	84	121	141	27	106	67	4	54	117	59	52	966
377800000002	UNIVERSIDADE VILA VELHA	32009	3203	32	63	13	40	5	24	11	4	9	0	51	8	13	3	244
000700000992	CENTRO SUPERIOR DE ENSINO E DESENVOLVIMENTO	25017	2503	25	107	40	177	44	68	30	22	65	0	97	17	98	25	790
001400000995	BRASILIA MEDICAL CENTER	53001	5301	53	45	14	146	10	15	4	2	54	1	59	7	86	22	465
007700000000	INSTITUTO NACIONAL DE CANCER	33018	3306	33	39	22	187	0	26	1	0	50	1	73	9	78	4	490
006100000001	FUNDACAO GETULIO VARGAS SP	35061	3515	35	5	0	2	2	0	1	2	0	0	2	0	7	89	110
829000000000	UNIVERSIDADE ESTADUAL DE MONTES CLAROS	31004	3102	31	74	4	55	7	20	3	9	16	2	33	8	68	10	309
501600000001	UNIVERSIDADE LUTERANA DO BRASIL	43026	4305	43	32	7	94	16	28	7	4	17	0	47	2	68	6	328
169700000007	UNIVERSIDADE FEDERAL DO ESTADO DO RIO DE JANEIRO	33018	3306	33	98	15	93	11	40	19	35	47	8	60	17	69	46	558
117800000006	PONTIFICIA UNIVERSIDADE CATOLICA DE MINAS GERAIS	31030	3107	31	63	5	17	52	15	8	37	16	0	32	17	79	38	379
023100000001	INSTITUTO AGRONOMICO DO PARANA	41011	4103	41	44	10	3	11	11	2	0	1	0	15	0	1	2	100
J1HP00000001	INSTITUTO FEDERAL DO PARANA	41019	4105	41	59	16	23	50	45	16	11	9	1	29	24	38	8	329
158700000001	UNIVERSIDADE DE COIMBRA	31062	3112	31	43	5	36	50	46	15	17	13	0	19	13	19	15	291
553800000008	UNIVERSIDADE ESTADUAL DO OESTE DO PARANA	41023	4106	41	104	36	76	74	55	14	27	26	6	50	16	61	26	571
319000000000	INSTITUTO FEDERAL DE SANTA CATARINA	42008	4202	42	44	12	15	45	56	8	40	11	2	15	13	17	9	287
894500000009	UNIVERSIDADE FEDERAL DO AMAPA	16003	1602	16	67	7	31	8	40	13	2	13	1	21	18	19	5	245
061500000001	FUNDACAO EDUCACIONAL INACIANA PADRE SABOIA DE MEDEIROS	35061	3515	35	2	0	3	32	15	2	23	5	0	1	18	8	18	127
823700000003	UNIVERSIDADE NORTE DO PARANA	41011	4103	41	17	10	18	3	8	2	1	14	0	37	0	67	1	178
505800000008	UNIVERSIDADE ESTADUAL DO MARANHAO	21002	2101	21	70	5	8	17	20	2	5	6	2	34	15	2	1	187
007100000000	PONTIFICIA UNIVERSIDADE CATOLICA DE SAO PAULO	35046	3512	35	13	3	60	7	8	3	11	29	19	14	4	60	37	268
001800000992	INSTITUTO DE MEDICINA INTEGRADA	41009	4103	41	18	4	57	2	6	2	9	21	2	21	1	41	7	191
841500000008	UNIVERSIDADE DO ESTADO DE MATO GROSSO	51010	5102	51	125	17	41	20	48	30	11	16	0	56	17	18	14	413
000400000008	FUNDACAO GETULIO VARGAS	33018	3306	33	5	0	2	10	2	1	7	3	8	5	16	8	91	158
309500000002	UNIVERSIDADE REGIONAL INTEGRADA DO ALTO URUGUAI E DAS MISSOES	43004	4301	43	46	22	16	37	45	4	5	5	0	17	8	19	1	225
080300000004	UNIVERSIDADE ESTADUAL DE MATO GROSSO DO SUL	50002	5001	50	93	14	25	36	53	17	4	8	1	32	27	22	8	340
623800000002	INSTITUTO FEDERAL FARROUPILHA	43018	4303	43	52	9	8	10	31	2	2	6	0	20	7	15	5	167
874100000007	UNIVERSIDADE DE ARARAQUARA	35024	3505	35	13	10	13	11	39	1	0	7	0	5	2	22	8	131
027500000001	INSTITUTO NACIONAL DE TECNOLOGIA	33018	3306	33	7	12	6	36	46	11	2	1	0	0	8	3	3	135
JL8W00000004	UNIVERSIDADE FEDERAL DO OESTE DA BAHIA	29001	2901	29	56	17	27	21	47	3	0	12	0	40	15	15	1	254
J3UC00000003	UNIVERSIDADE FEDERAL DA INTEGRACAO LATINO AMERICANA	41024	4106	41	48	9	27	40	38	1	5	6	1	18	39	9	9	250
051400000002	UNIVERSIDADE PRESBITERIANA MACKENZIE	35061	3515	35	22	11	64	28	66	3	32	46	2	29	35	46	51	435
067900000008	INSTITUTO DE PESQUISA JARDIM BOTANICO DO RIO DE JANEIRO	33018	3306	33	90	8	19	8	22	14	3	7	0	22	8	4	1	206
822900000009	EMPRESA DE PESQUISA AGROPECUARIA E EXTENSAO RURAL DE SANTA CATARINA	42004	4201	42	65	6	2	13	19	4	0	3	0	19	0	3	5	139
431100000008	UNIVERSIDADE DO ESTADO DO AMAZONAS	13007	1303	13	33	7	16	20	34	33	22	9	1	25	19	34	9	262
000200000004	UNIVERSIDADE FEDERAL DO TRIANGULO MINEIRO	31022	3105	31	46	32	125	52	69	12	14	46	0	68	28	75	23	590
071500000009	PONTIFICIA UNIVERSIDADE CATOLICA DE CAMPINAS	35032	3507	35	10	8	51	22	12	2	22	23	1	7	6	42	21	227
087900000002	UNIVERSIDADE DE PASSO FUNDO	43010	4301	43	65	17	49	34	23	5	6	15	0	67	2	39	22	344
769300000008	INSTITUTO TECNOLOGICO DE AERONAUTICA	35050	3513	35	3	1	3	98	41	6	59	0	0	1	76	9	24	321
154100000008	INSTITUTO FEDERAL DO CEARA REITORIA	23032	2307	23	37	6	3	43	37	5	22	0	0	19	21	18	2	213
577300000006	UNIVERSIDADE FEDERAL DO VALE DO SAO FRANCISCO	26005	2602	26	92	18	51	32	58	7	18	16	0	46	16	42	9	405
226100000009	INSTITUTO FEDERAL DE EDUCACAO CIENCIA E TECNOLOGIA DE GOIAS	52013	5205	52	21	5	10	31	24	4	12	9	3	9	8	9	6	151
431900000002	UNIVERSIDADE ESTADUAL DA PARAIBA	25017	2503	25	97	22	44	21	57	8	13	17	0	29	33	60	20	421
021700000006	UNIVERSIDADE FEDERAL RURAL DO SEMI ARIDO	24001	2401	24	113	10	20	48	30	7	20	9	0	50	21	20	19	367
363100000000	UNIVERSIDADE ESTADUAL DE SANTA CRUZ	29031	2907	29	151	23	47	28	55	8	9	14	2	58	42	26	20	483
506700000004	UNIVERSIDADE DO OESTE PAULISTA	35036	3508	35	40	11	49	9	18	2	2	12	0	45	2	44	3	237
IYZQ00000002	UNIVERSIDADE ESTADUAL DO NORTE DO PARANA	41016	4104	41	32	6	18	7	7	0	0	1	2	24	1	21	6	125
281500000009	INSTITUTO FEDERAL DE EDUCACAO CIENCIA E TECNOLOGIA DO RIO GRANDE DO NORTE	24006	2401	24	26	2	3	34	29	5	10	0	0	7	9	4	5	134
001900000994	CLINICA MEDICA USUY	42016	4205	42	20	4	57	4	8	1	0	25	0	16	1	32	6	174
001500000997	CLINICA TOMOVALE	35050	3513	35	32	10	90	5	16	11	1	48	0	25	7	47	10	302
033800000001	UNIVERSIDADE FEDERAL RURAL DE PERNAMBUCO	26017	2605	26	185	43	71	63	90	40	40	20	0	86	50	38	24	750
475600000009	UNIVERSIDADE FEEVALE	43026	4305	43	40	10	24	35	33	8	15	16	0	39	2	25	16	263
408800000006	INSTITUTO DANTE PAZZANESE DE CARDIOLOGIA	35061	3515	35	16	14	190	1	14	9	1	51	0	41	7	96	7	447
410300000009	INSTITUTO FEDERAL DE EDUCACAO CIENCIA E TECNOLOGIA DO RIO DE JANEIRO	33018	3306	33	52	24	44	49	73	5	2	13	1	45	23	22	5	358
