Ano	ID_do_estado	Nome_do_estado	Valor_bruto_agropecuaria	Valor_bruto_industria	Valor_bruto_servicos	Valor_bruto_administracao	Valor_bruto_total	Impostos	PIB	Populacao	PIB_per_capita
2011	11	Rondônia	2510829.0	5920619.0	9255080.0	6505204.0	24191731.0	3382983.0	27574713.0	1576455.0	685955.1299999999
2011	12	Acre	862625.0	942666.0	3355854.0	3004144.0	8165287.0	784145.0	8949433.0	746386.0	194469.07999999996
2011	13	Amazonas	4313390.0	25079192.0	19800912.0	9914617.0	59108111.0	11628082.0	70734402.0	3538387.0	486962.32000000007
2011	14	Roraima	175529.0	815761.0	2401065.0	3329692.0	6722044.0	581672.0	7303718.0	460165.0	162144.56000000003
2011	15	Pará	8971610.0	34636074.0	30626480.0	16307147.0	90541304.0	8169428.0	98710733.0	7688593.0	1290194.6
2011	16	Amapá	221648.0	799113.0	3619868.0	4076118.0	8716747.0	692483.0	9409226.0	684309.0	186025.97
2011	17	Tocantins	2095040.0	3205924.0	5951368.0	5305111.0	16557451.0	1788234.0	18345684.0	1400892.0	1496500.2300000004
2011	21	Maranhão	5141825.0	8304003.0	20677958.0	11762986.0	45886792.0	6256743.0	52143528.0	6645761.0	1148583.3000000005
2011	22	Piauí	1936792.0	3781433.0	10070816.0	7362743.0	23151796.0	2789562.0	25941369.0	3140328.0	1215455.8500000006
2011	23	Ceará	5097210.0	16668372.0	38621601.0	17960233.0	78347417.0	11348406.0	89695826.0	8530155.0	1145327.58
2011	24	Rio Grande do Norte	1332376.0	9172174.0	15864657.0	10250040.0	36403025.0	4589904.0	40992928.0	3198657.0	1391451.329999999
2011	25	Paraíba	1790055.0	6165509.0	13789516.0	11240073.0	32985145.0	4123988.0	37109139.0	3791315.0	1377719.7699999989
2011	26	Pernambuco	4145575.0	20201513.0	47072369.0	22224950.0	93644414.0	16517144.0	110161562.0	8864906.0	1363686.0299999998
2011	27	Alagoas	3030283.0	6510251.0	11548134.0	7441296.0	28529963.0	3127357.0	31657324.0	3143384.0	707562.51
2011	28	Sergipe	1359470.0	7732917.0	10147240.0	6798278.0	26037901.0	3070369.0	29108273.0	2089819.0	890331.2600000005
2011	29	Bahia	11886319.0	36403715.0	70147080.0	29060026.0	145727055.0	20875758.0	166602807.0	14097534.0	3165828.470000003
2011	31	Minas Gerais	23795247.0	115949812.0	158390914.0	51496118.0	349632084.0	50492606.0	400124688.0	19728701.0	11471096.930000002
2011	32	Espírito Santo	2985717.0	37166205.0	33947166.0	12027597.0	86126685.0	19849534.0	105976223.0	3547055.0	2182512.27
2011	33	Rio de Janeiro	2135265.0	135538882.0	221180566.0	77425126.0	436279842.0	76509140.0	512767901.0	16112678.0	2925668.7399999993
2011	35	São Paulo	23370867.0	305359581.0	743871234.0	112231151.0	1184832828.0	251849556.0	1436672706.0	41587182.0	13656622.33
2011	41	Paraná	20734960.0	62004880.0	109155492.0	26955784.0	218851113.0	38271147.0	257122268.0	10512349.0	7010963.790000001
2011	42	Santa Catarina	8939526.0	49573573.0	69597709.0	18833957.0	146944757.0	27123547.0	174068321.0	6317054.0	6511671.099999998
2011	43	Rio Grande do Sul	18877245.0	61446640.0	114678773.0	31370754.0	226373407.0	38683000.0	265056420.0	10733030.0	10458315.899999993
2011	50	Mato Grosso do Sul	8475224.0	10946624.0	19650183.0	9273864.0	48345889.0	6787268.0	55133157.0	2477542.0	1738507.67
2011	51	Mato Grosso	13606986.0	10999849.0	26855698.0	10137894.0	61600432.0	7553525.0	69153952.0	3075936.0	3028932.71
2011	52	Goiás	11615992.0	28318484.0	48899902.0	16292450.0	105126840.0	16169882.0	121296722.0	6080716.0	4380984.8999999985
2011	53	Distrito Federal	616419	9376545	62166346	59471620	131630930	22938024	154568954	2609998	59221.87
2012	11	Rondônia	3291663.0	5555134.0	10523968.0	7192102.0	26562866.0	3549855.0	30112721.0	1590011.0	772208.0499999999
2012	12	Acre	957228.0	1039346.0	3732117.0	3420687.0	9149380.0	988544.0	10137925.0	758786.0	214874.25000000003
2012	13	Amazonas	4127916.0	22908357.0	21585031.0	10951003.0	59572310.0	12671656.0	72242703.0	3590985.0	507820.62999999983
2012	14	Roraima	213864.0	762520.0	2581877.0	3507564.0	7065827.0	645640.0	7711468.0	469524.0	169613.99000000002
2012	15	Pará	10177456.0	32572977.0	36294943.0	18391451.0	97352055.0	9728826.0	107080878.0	7822205.0	1358507.4599999997
2012	16	Amapá	273768.0	1222934.0	4083103.0	4670768.0	10250578.0	880289.0	11130869.0	698602.0	208945.27000000002
2012	17	Tocantins	2342064.0	3468597.0	7057591.0	5848234.0	18716491.0	1967929.0	20684430.0	1417694.0	1660746.8999999997
2012	21	Maranhão	5438773.0	10422540.0	23975016.0	13147751.0	52984066.0	7506046.0	60490110.0	6714314.0	1310336.1400000008
2012	22	Piauí	1993217.0	3876110.0	11454290.0	8094780.0	25418403.0	3219282.0	28637680.0	3160748.0	1320612.869999999
2012	23	Ceará	3940268.0	17893254.0	43285273.0	19039259.0	84076396.0	12897363.0	96973750.0	8606005.0	1165573.1600000004
2012	24	Rio Grande do Norte	1301903.0	11096302.0	18625297.0	11068181.0	41441187.0	5155181.0	46450299.0	3228198.0	1562594.2099999993
2012	25	Paraíba	1541066.0	7290421.0	16339494.0	12501010.0	37671981.0	4818658.0	42488343.0	3815171.0	1505996.6900000002
2012	26	Pernambuco	3849515.0	23879354.0	56393175.0	24485639.0	108607670.0	19381370.0	127989042.0	8931028.0	1529294.4700000004
2012	27	Alagoas	2966361.0	6245820.0	13941950.0	8094789.0	31248926.0	3401473.0	34650396.0	3165472.0	756416.4399999998
2012	28	Sergipe	1496450.0	8956936.0	11623150.0	7282335.0	29358868.0	3494316.0	32853181.0	2110867.0	984067.7299999997
2012	29	Bahia	12779211.0	40138599.0	79329540.0	32045327.0	160013539.0	23276635.0	182572537.0	14175341.0	3535681.68
2012	31	Minas Gerais	25557453.0	120130146.0	183985310.0	57423009.0	387095939.0	55186920.0	442282828.0	19855332.0	12647683.85999998
2012	32	Espírito Santo	3176197.0	40943375.0	38436320.0	13402405.0	95958307.0	20892274.0	116850585.0	3578067.0	2536474.6100000003
2012	33	Rio de Janeiro	2366831.0	159147135.0	245152705.0	82954654.0	489621326.0	85279170.0	574884973.0	16231365.0	3232595.8999999994
2012	35	São Paulo	23809344.0	309890605.0	833816178.0	122512401.0	1286699004.0	272343853.0	1559033441.0	41901219.0	14961737.360000005
2012	41	Paraná	22230123.0	66092125.0	124768187.0	30958435.0	242927261.0	42692942.0	285620201.0	10577755.0	7820928.770000003
2012	42	Santa Catarina	8896857.0	52362591.0	80005607.0	20787226.0	162052289.0	29742371.0	191794656.0	6383286.0	7041678.33
2012	43	Rio Grande do Sul	16293762.0	65433997.0	129347435.0	34452300.0	245487118.0	42099904.0	287587015.0	10770603.0	10589558.13
2012	50	Mato Grosso do Sul	9672431.0	12318092.0	22393203.0	10256864.0	54640580.0	7372625.0	62013199.0	2505088.0	1907580.6500000008
2012	51	Mato Grosso	17431769.0	11064473.0	30643171.0	11310751.0	70450157.0	9215530.0	79665685.0	3115336.0	3570787.5300000003
2012	52	Goiás	14076178.0	31753855.0	58523827.0	18122619.0	122476483.0	16281336.0	138757833.0	6154996.0	4958674.179999998
2012	53	Distrito Federal	493362	9705774	67883270	60179416	138261823	25839514	164101336	2648532	61959.36
2013	11	Rondônia	3329666.0	5340851.0	10990332.0	8025819.0	27686663.0	3434744.0	31121412.0	1728214.0	759418.2599999999
2013	12	Acre	1182072.0	1107063.0	4245148.0	3949240.0	10483523.0	990407.0	11473929.0	776463.0	251921.53
2013	13	Amazonas	5165834.0	25419427.0	25630757.0	12595979.0	68811997.0	14249027.0	83051228.0	3807921.0	556469.4800000001
2013	14	Roraima	384112.0	1078684.0	2911464.0	3965070.0	8339327.0	671399.0	9010725.0	488072.0	199177.62000000002
2013	15	Pará	14532624.0	36630083.0	38179610.0	21054345.0	110396669.0	10828173.0	121224851.0	7999729.0	1605849.3600000008
2013	16	Amapá	253930.0	1549107.0	4743021.0	5210019.0	11756077.0	1007412.0	12763485.0	734996.0	239165.26
2013	17	Tocantins	2714412.0	3595519.0	8344513.0	6986600.0	21641035.0	2155621.0	23796659.0	1478164.0	1869089.6200000006
2013	21	Maranhão	6834849.0	11376634.0	27194490.0	14622907.0	60028888.0	7665956.0	67694839.0	6794301.0	1577189.67
