idDaInstituicao	anoDePublicacao	total
IXXU00000008-35	2013	110
001900000994-35	2013	31
001900000994-35	2010	30
J32200000000-41	2012	37
J32200000000-41	2011	48
000800000994-43	2014	16
J1D700000002-32	2015	6
JL8W00000004-29	2014	62
003900000001-53	2015	4
003900000001-53	2013	4
003900000001-53	2012	8
003900000001-53	2011	8
IW1Y00000001-35	2010	8
J6V200000003-31	2012	40
J6V200000003-31	2011	6
J6V200000003-31	2010	5
JQMV00000000-23	2010	2
985600682141-51	2010	1
G53N00000005-35	2015	3
420700000003-35	2011	20
438500000002-35	2015	37
438500000002-35	2014	37
438500000002-35	2013	41
438500000002-35	2012	30
438500000002-35	2011	34
438500000002-35	2010	36
IZEO00000008-43	2015	46
IZEO00000008-43	2014	76
IZEO00000008-43	2012	77
171800000000-41	2015	2
J8FX00000002-17	2010	5
985600094916-52	2013	2
985600094916-52	2012	3
985600094916-52	2011	3
985600094916-52	2010	1
015100000000-33	2015	1
000400000997-35	2014	234
985600149567-31	2012	2
013800000007-24	2015	25
000600000990-29	2010	16
516400000006-35	2013	3
IY7O00000005-16	2015	9
000300000995-27	2010	7
579800000001-31	2015	23
579800000001-31	2013	37
IYTC00000008-33	2015	2
IYTC00000008-33	2014	6
IYTC00000008-33	2012	3
J0XN00000008-27	2014	2
J0XN00000008-27	2010	3
000200000993-15	2013	9
001600000999-33	2014	3
001600000999-33	2013	7
J4KN00000002-33	2015	12
J4KN00000002-33	2010	10
500400000000-26	2015	2
500400000000-26	2014	6
500400000000-26	2013	5
500400000000-26	2011	4
500400000000-26	2010	5
985601001997-35	2013	22
478500000001-35	2014	13
478500000001-35	2012	7
478500000001-35	2010	5
544800000009-33	2013	7
544800000009-33	2012	13
900900000004-53	2013	4
001000000998-28	2013	2
001000000998-28	2011	2
003500000993-29	2013	2
003500000993-29	2012	2
003500000993-29	2010	1
154900000002-29	2013	14
508300000003-31	2015	5
508300000003-31	2014	6
001200000991-41	2010	9
009200000008-27	2013	32
009200000008-27	2012	44
009200000008-27	2011	39
412700000002-43	2012	221
412700000002-43	2010	215
116300000009-43	2010	2
281100000001-21	2012	72
281100000001-21	2010	39
IZJL00000003-53	2013	3
J0S900000000-35	2014	5
J0S900000000-35	2013	7
434800000005-35	2011	120
469000000003-41	2014	8
J0N300000008-22	2010	2
J1OR00000000-31	2013	62
189500000008-29	2013	53
001300000993-13	2015	1
000200000993-41	2013	48
842100000009-53	2011	5
819000000002-27	2014	24
819000000002-27	2011	26
892200000007-35	2015	8
000600000990-42	2013	9
013100000004-43	2010	5
015100000000-23	2014	1
802600000009-35	2014	29
002100000998-33	2013	1
002100000998-33	2012	1
002100000998-33	2011	3
025500000005-33	2012	26
025500000005-33	2011	16
045100000002-53	2010	20
192900000005-27	2014	62
192900000005-27	2013	50
051600000006-53	2010	27
044900000009-53	2011	3
044900000009-53	2010	2
IXXU00000008-35	2012	95
001500000997-33	2011	6
001500000997-33	2010	2
531000000002-43	2013	85
531000000002-43	2012	39
531000000002-43	2011	39
531000000002-43	2010	31
000200000993-23	2012	28
000200000993-23	2011	27
985600151383-53	2011	17
985600084597-29	2014	3
J6QK00000000-35	2013	1
193400000004-33	2011	8
001300000993-33	2010	11
000600000990-27	2014	2
306200000002-52	2010	7
985600042827-35	2010	11
062200000004-51	2015	56
000200000993-29	2011	32
000200000993-29	2010	31
000700000003-35	2012	35
000700000003-35	2010	22
003100000007-33	2013	25
003100000007-33	2012	43
003100000007-33	2011	34
364100000008-23	2014	6
985600218500-35	2010	1
010200000001-43	2010	58
281100000001-21	2015	96
281100000001-21	2014	88
281100000001-21	2013	112
000700000992-32	2014	5
000700000992-32	2013	2
000700000992-32	2011	11
000700000992-32	2010	4
JP0K00000004-33	2011	2
298200000008-33	2014	12
298200000008-33	2012	10
J6V200000003-35	2015	4
003000000005-43	2011	1
010400000005-35	2012	95
154600000007-35	2010	60
BGHI00000002-35	2011	2
000400000997-27	2013	34
000400000997-27	2011	25
000400000997-27	2010	26
016900000003-42	2013	3
016900000003-42	2012	3
016900000003-42	2010	1
413600000009-35	2010	3
558800000009-51	2013	33
281500000009-26	2012	5
281500000009-26	2011	7
281500000009-26	2010	3
001200000002-33	2011	88
985600099934-25	2013	1
473900000008-29	2010	2
009200000008-16	2013	5
985600215063-35	2012	2
985600215063-35	2011	2
IZEE00000008-53	2011	11
311500000004-23	2011	3
008200000000-43	2010	8
001400000995-35	2015	43
825100000009-41	2015	5
825100000009-41	2014	4
825100000009-41	2013	2
825100000009-41	2012	5
825100000009-41	2010	4
000700000992-22	2015	2
000700000992-22	2014	9
000700000992-22	2013	3
J1SS00000005-35	2010	133
208000000009-35	2013	20
208000000009-35	2011	25
003900000001-41	2015	18
003900000001-41	2011	88
810400000006-27	2013	1
810400000006-27	2011	1
869900000005-33	2015	55
869900000005-33	2013	46
869900000005-33	2012	64
869900000005-33	2010	76
188200000004-35	2015	3
188200000004-35	2013	4
188200000004-35	2012	5
J2Z200000007-35	2014	1
572000000000-42	2014	108
001100000990-28	2015	4
192900000005-27	2011	28
001600000999-35	2015	19
001600000999-35	2014	34
000400000997-16	2015	5
284100000006-31	2013	1
284100000006-31	2012	2
063600000000-31	2013	4
002900000992-43	2015	5
002900000992-43	2010	2
281100000001-21	2011	57
285100000004-31	2012	5
285100000004-31	2011	8
285100000004-31	2010	3
179800000006-41	2015	39
179800000006-41	2014	31
J61F00000009-31	2013	1
IW3C00000004-35	2013	24
IW3C00000004-35	2010	28
000200000993-23	2010	19
586600000000-33	2011	21
482200000004-35	2011	4
308200000009-43	2010	49
819000000002-27	2015	24
819000000002-27	2013	18
288200000000-50	2015	18
101800000000-43	2011	4
002900000992-52	2014	1
002900000992-52	2013	1
002900000992-52	2011	1
001600000999-35	2010	27
000700000992-33	2015	14
985601000990-13	2014	1
985601000990-13	2011	1
009800000009-31	2015	75
009800000009-31	2014	79
002600000997-35	2013	5
301700000000-35	2010	25
J32200000000-42	2010	41
985600163446-52	2012	2
IYA400000008-35	2014	11
IYA400000008-35	2013	6
IYA400000008-35	2012	7
IYA400000008-35	2011	10
IYA400000008-35	2010	8
000200000993-42	2012	7
354700000001-33	2013	3
354700000001-33	2011	2
000500000999-52	2013	4
J4U100000009-33	2015	2
J4U100000009-33	2014	4
J4U100000009-33	2013	5
J4U100000009-33	2012	4
J4U100000009-33	2011	2
J4U100000009-33	2010	2
281500000009-26	2014	1
012600000005-33	2010	9
985600992930-52	2011	1
000900000996-33	2011	15
J01K00000006-35	2015	10
IWAM00000000-42	2015	2
IWAM00000000-42	2013	3
IWAM00000000-42	2011	4
IWAM00000000-42	2010	3
192500000008-31	2010	34
000600000990-22	2012	2
894500000009-16	2011	36
894500000009-16	2010	105
028700000003-33	2014	31
081500000006-35	2013	65
544800000009-33	2011	9
819000000002-27	2012	24
000200000993-52	2012	5
000200000993-52	2010	9
002300000991-33	2015	2
002300000991-33	2014	3
002300000991-33	2013	7
028200000004-26	2011	1
001700000990-35	2015	11
001700000990-35	2012	26
001700000990-35	2011	17
001700000990-35	2010	13
481300000008-35	2014	10
015300000004-33	2014	1
001600000999-23	2015	4
001600000999-23	2014	11
001600000999-23	2013	6
001600000999-23	2012	8
001600000999-23	2011	12
001600000999-23	2010	10
001400000995-11	2013	1
009200000008-51	2013	34
000500000999-50	2014	4
000500000999-50	2013	3
001000000998-41	2015	4
001000000998-41	2014	5
001000000998-41	2013	7
001000000998-41	2010	8
IWT400000007-31	2014	4
579800000001-31	2014	34
001200000002-33	2012	58
089100000004-52	2012	38
294300000007-31	2010	4
029500000008-35	2014	20
029500000008-35	2013	20
029500000008-35	2010	21
003200000009-35	2014	22
002300000991-33	2012	2
002300000991-33	2010	6
IX2400000007-43	2014	46
IX2400000007-43	2013	31
IX2400000007-43	2011	39
001100000990-43	2013	5
001100000990-43	2011	5
000500000999-43	2012	48
437300000000-41	2014	7
001600000999-35	2012	23
IW6L00000007-35	2010	1
000500000999-26	2015	14
000500000999-26	2014	16
000500000999-26	2013	20
000500000999-26	2011	61
J4F200000001-41	2014	3
J4F200000001-41	2012	6
JIF800000001-53	2013	2
985600908867-35	2011	8
082500000004-26	2015	2
985608317159-35	2014	5
985608317159-35	2013	4
001000000998-21	2010	4
001300000993-52	2010	3
154900000002-29	2014	16
002700000000-33	2013	1
IZ8D00000009-31	2015	3
IZ8D00000009-31	2014	2
IZ8D00000009-31	2013	5
IZ8D00000009-31	2011	2
IZ8D00000009-31	2010	4
IYJ200000008-35	2013	7
IYJ200000008-35	2012	4
009200000008-23	2012	65
084400000009-35	2015	1
084400000009-35	2014	3
084400000009-35	2013	2
084400000009-35	2011	5
J8LY00000001-35	2011	20
J8LY00000001-35	2010	6
340900000005-35	2010	40
JA2300000000-35	2015	15
JA2300000000-35	2014	14
JA2300000000-35	2012	52
JA2300000000-35	2011	27
JA2300000000-35	2010	10
822900000009-42	2012	102
IZEO00000008-43	2013	92
J54700000000-35	2011	2
003900000001-29	2013	297
003900000001-29	2012	182
024700000000-35	2013	185
166100000001-15	2015	16
384400000008-35	2012	1
008800000000-33	2014	18
008800000000-33	2012	27
000700000992-31	2011	13
001000000998-31	2015	9
001000000998-31	2011	9
351100000006-31	2013	10
JQMV00000000-23	2013	1
192900000005-27	2012	48
766300000003-35	2015	12
766300000003-35	2014	10
766300000003-35	2013	14
766300000003-35	2012	16
766300000003-35	2011	16
766300000003-35	2010	6
579800000001-31	2011	31
F3V900000009-52	2011	99
IW9W00000003-29	2014	20
IW9W00000003-29	2012	33
000400000997-26	2013	16
000400000997-26	2011	10
558800000009-51	2014	29
J1HP00000001-41	2011	50
577000000000-41	2011	41
308200000009-43	2015	13
891300000000-31	2014	37
884900000009-15	2013	86
870300000008-35	2011	30
870300000008-35	2010	31
282600000009-35	2011	4
015100000000-31	2012	2
001000000998-26	2014	4
002300000991-33	2011	4
J0ZY00000006-41	2014	4
J0ZY00000006-41	2013	6
J0ZY00000006-41	2012	8
J0ZY00000006-41	2011	2
003900000001-13	2014	31
003900000001-13	2010	12
J1BJ00000000-35	2010	14
JCOG00000006-43	2014	5
JCOG00000006-43	2013	4
JCOG00000006-43	2011	10
J0TA00000001-35	2012	5
381700000009-35	2014	4
381700000009-35	2013	7
001900000994-43	2014	1
001900000994-43	2011	3
000700000992-13	2015	42
000700000992-13	2014	5
000700000992-13	2013	85
000700000992-13	2012	2
000700000992-13	2011	2
000700000992-13	2010	3
880000000000-23	2012	132
880000000000-23	2011	74
880000000000-23	2010	82
870100000004-33	2012	149
029500000008-35	2011	18
000200000993-29	2012	23
534600000008-35	2011	5
028200000004-53	2013	129
288200000000-50	2012	34
985600399040-35	2015	8
985600399040-35	2014	5
661500000000-31	2013	41
117300000007-35	2014	14
000400000997-31	2010	21
J01700000009-35	2015	26
J01700000009-35	2014	28
J01700000009-35	2013	41
J01700000009-35	2010	24
000200000993-51	2012	4
089500000001-53	2013	5
047500000006-43	2010	55
002000000996-31	2014	6
002000000996-31	2012	2
002000000996-31	2011	76
J01700000009-35	2012	29
J01700000009-35	2011	21
985600169126-43	2013	29
001800000992-31	2015	4
001800000992-31	2014	4
434800000005-35	2015	65
J93M00000001-27	2013	64
J93M00000001-27	2012	19
J93M00000001-27	2010	28
985601108074-35	2014	1
985601108074-35	2013	6
985601108074-35	2010	3
JAN300000008-43	2011	1
118500000009-25	2015	13
J6EO00000001-53	2015	1
003900000001-29	2011	373
IY5300000007-35	2010	74
528700000005-17	2014	18
528700000005-17	2013	17
J00Z00000007-35	2011	20
J00Z00000007-35	2010	19
IVM800000000-42	2013	10
985601361799-31	2013	6
985601361799-31	2012	6
985601361799-31	2010	4
000600000990-53	2014	12
000600000990-53	2011	21
000600000990-53	2010	25
071800000004-31	2011	19
870400000000-31	2014	94
454100000007-33	2010	5
832000000000-35	2013	5
454100000007-33	2015	9
454100000007-33	2014	27
454100000007-33	2013	9
000300000995-33	2012	22
985600189488-31	2012	2
001700000990-33	2010	12
003100000007-33	2014	8
623800000002-43	2011	58
985600212021-31	2015	2
001000000998-26	2015	2
001000000998-26	2011	6
246100000003-22	2011	126
246100000003-22	2010	89
021000000003-53	2014	7
021000000003-53	2012	7
985601000990-43	2015	9
985601000990-43	2013	14
985601000990-43	2011	15
985601000990-43	2010	7
000800000994-41	2013	21
003200000998-41	2014	2
005200000005-33	2012	3
154300000001-35	2015	43
154300000001-35	2014	45
154300000001-35	2011	43
154100000008-23	2010	57
001500000997-27	2013	2
506800000006-35	2011	5
J7ZM00000003-29	2011	2
J7ZM00000003-29	2010	3
020100000007-43	2012	109
469000000003-41	2015	10
869000000009-26	2013	4
000500000999-26	2012	19
015100000000-33	2013	4
000400000997-43	2013	33
009200000008-27	2015	35
J2HF00000009-15	2015	67
J2HF00000009-15	2010	52
IYK100000002-26	2013	2
J1D700000002-32	2014	3
J1D700000002-32	2010	9
002500000995-35	2014	12
985600001900-35	2013	4
880000000000-23	2015	143
880000000000-23	2014	158
009200000008-51	2012	42
000300000995-29	2015	16
294500000000-26	2015	2
294500000000-26	2013	2
294500000000-26	2011	1
F3V900000009-52	2010	83
001000000998-25	2012	4
IZYJ00000007-52	2013	3
IXS700000001-33	2010	1
884900000009-15	2014	69
J1VL00000005-32	2010	6
JDZ000000000-29	2010	1
195400000000-13	2013	124
195400000000-13	2012	92
195400000000-13	2011	87
051600000006-27	2014	3
051600000006-27	2011	4
040000000000-43	2014	6
J9GC00000006-11	2015	23
J9GC00000006-11	2014	28
J9GC00000006-11	2013	25
096800000000-35	2010	20
985600409127-31	2013	1
985600409127-31	2012	1
985600409127-31	2011	1
063700000001-26	2013	13
063700000001-26	2012	6
063700000001-26	2011	3
063700000001-26	2010	9
481300000008-35	2012	24
015300000004-33	2011	2
062200000004-51	2011	95
777100000005-42	2015	3
003900000001-23	2014	6
003900000001-23	2010	6
303400000001-53	2015	9
303400000001-53	2014	8
303400000001-53	2013	7
303400000001-53	2012	9
000200000993-53	2011	11
000200000993-53	2010	9
247100000001-41	2015	4
247100000001-41	2012	19
J0ZR00000001-42	2012	5
001900000994-31	2010	4
J3E400000000-50	2013	14
009200000008-25	2013	107
308200000009-43	2014	31
J98T00000005-11	2010	4
038800000002-35	2010	66
115200000009-33	2010	2
003100000007-33	2015	26
003100000007-33	2010	23
891300000000-31	2013	47
891300000000-31	2011	48
IZYG00000001-31	2013	12
520900000003-31	2012	44
IZYH00000003-52	2011	1
985600203944-23	2013	1
985600203944-23	2011	1
001200000002-33	2014	152
985601000990-35	2014	40
627100000002-42	2015	57
438300000009-42	2015	1
438300000009-42	2013	7
438300000009-42	2010	6
985600212021-31	2011	2
985600212021-31	2010	2
498300000002-31	2011	44
J6K900000008-35	2010	1
AT0F00000005-35	2012	4
AT0F00000005-35	2011	2
118500000009-25	2010	5
377800000002-32	2011	52
IW1Y00000001-35	2015	8
IW1Y00000001-35	2014	4
IW1Y00000001-35	2011	5
024300000003-52	2013	1
J8OX00000004-43	2014	8
J8OX00000004-43	2013	10
001100000990-35	2012	48
583900000001-35	2014	20
021200000007-32	2011	23
763900000000-35	2014	2
IYZQ00000002-50	2015	26
201900000008-33	2010	16
016900000003-53	2015	6
016900000003-53	2014	3
016900000003-53	2013	4
000700000992-50	2011	3
000400000997-52	2014	14
000400000997-52	2013	10
J0IH00000006-27	2015	15
000700000992-50	2014	1
295500000009-41	2012	43
351100000006-31	2014	10
JMA100000004-13	2013	1
117700000004-33	2010	61
J2BG00000001-41	2013	3
038800000002-35	2011	77
010200000001-43	2013	222
306200000002-35	2012	195
023500000009-31	2013	5
000600000990-43	2015	10
000600000990-43	2014	15
069000000008-29	2011	13
892700000006-42	2011	50
000300000995-53	2012	15
000300000995-53	2011	11
029500000008-35	2015	7
029500000008-35	2012	15
503500000006-27	2013	3
034300000000-31	2014	5
034300000000-31	2013	7
012600000005-33	2011	15
010100000000-33	2011	5
577300000006-29	2011	33
000500000999-43	2013	46
000500000999-43	2010	31
000700000992-41	2010	8
481300000008-35	2015	5
481300000008-35	2013	8
481300000008-35	2010	14
000600000990-35	2010	105
498300000002-31	2015	23
875100000005-42	2012	5
066300000009-53	2010	13
014000000000-31	2015	53
014000000000-31	2014	46
014000000000-31	2013	35
014000000000-31	2012	58
014000000000-31	2010	56
985601000990-51	2013	3
985601000990-51	2012	4
985601000990-51	2011	3
038800000002-35	2012	82
001000000998-52	2015	2
001000000998-52	2014	3
001000000998-52	2013	1
001000000998-52	2012	5
001000000998-52	2010	3
017500000004-35	2015	11
000300000995-16	2011	2
000400000997-43	2011	38
351100000006-31	2011	7
351100000006-31	2010	4
040000000000-42	2012	1
040000000000-42	2010	6
403300000006-35	2014	3
403300000006-35	2012	1
546600000001-52	2014	3
000900000996-41	2015	6
002200000990-31	2015	10
002200000990-31	2013	7
002200000990-31	2012	3
IYTC00000008-33	2013	2
J23700000000-31	2010	1
309100000005-35	2011	3
309100000005-35	2010	1
985601000990-35	2011	17
208000000009-35	2014	25
301700000000-35	2011	21
IV6N00000003-33	2015	1
JCNA00000007-35	2013	2
135100000001-41	2015	2
135100000001-41	2014	7
135100000001-41	2013	5
135100000001-41	2012	3
135100000001-41	2011	8
135100000001-41	2010	4
J7ZP00000009-35	2014	59
198100000000-42	2015	8
198100000000-42	2011	7
001400000995-35	2014	35
000700000992-17	2013	2
000700000992-17	2012	1
497100000000-35	2015	22
IX9G00000008-35	2012	1
002500000995-35	2011	12
002500000995-35	2010	6
154600000007-35	2015	72
000500000999-50	2011	1
000500000999-50	2010	4
000500000999-32	2014	10
000500000999-32	2013	5
201300000007-31	2013	2
009200000008-21	2011	10
001300000993-53	2012	7
J1OU00000008-33	2011	31
869900000005-33	2014	58
869900000005-33	2011	80
JEIB00000004-32	2015	4
JEIB00000004-32	2014	3
015100000000-43	2015	2
154300000001-35	2013	66
154300000001-35	2012	65
154300000001-35	2010	38
000300000995-50	2013	3
000700000992-35	2010	60
528200000006-35	2015	16
528200000006-35	2014	20
080300000004-52	2013	14
JEHD00000000-52	2013	5
JEHD00000000-52	2012	1
JEHD00000000-52	2011	2
002700000000-29	2014	37
002700000000-29	2013	47
000300000995-50	2015	6
J09300000007-21	2015	2
000600000990-53	2015	13
000700000992-23	2013	22
287000000009-53	2012	4
287000000009-53	2011	5
287000000009-53	2010	6
951500000001-35	2013	2
951500000001-35	2012	1
951500000001-35	2011	3
951500000001-35	2010	2
000600000990-22	2010	2
IYAN00000006-31	2012	6
J38U00000005-33	2015	1
J38U00000005-33	2014	7
J38U00000005-33	2010	8
077900000005-35	2015	1
077900000005-35	2014	4
077900000005-35	2013	2
077900000005-35	2012	5
077900000005-35	2011	4
077900000005-35	2010	3
001300000993-27	2015	1
001300000993-27	2010	3
001400000995-29	2014	1
001400000995-29	2012	3
001500000997-35	2015	16
001500000997-35	2014	100
032601001042-33	2015	6
032601001042-33	2014	11
032601001042-33	2013	17
032601001042-33	2012	8
032601001042-33	2011	13
032601001042-33	2010	13
364100000008-23	2012	7
364100000008-23	2011	4
IW1F00000003-25	2015	7
985600159970-31	2012	7
985600159970-31	2010	3
IW3C00000004-35	2015	26
189500000008-29	2014	26
BEFO00000004-23	2011	2
985600070308-23	2015	1
985600070308-23	2012	1
047700000000-21	2014	61
985601361799-31	2014	2
985601361799-31	2011	4
000600000990-29	2014	8
493100000008-31	2010	6
JAXG00000003-21	2011	1
021000000003-53	2015	11
021000000003-53	2013	7
021000000003-53	2010	6
432800000009-42	2014	12
IYSY00000003-31	2013	2
IYSY00000003-31	2012	1
000200000993-42	2015	11
000200000993-42	2014	16
000900000996-43	2013	12
985600993210-31	2015	2
985600993210-31	2014	5
985600993210-31	2012	4
985600993210-31	2010	2
J54G00000008-33	2014	1
451500000000-23	2010	1
539700000000-31	2015	1
051400000002-35	2013	103
000600000990-43	2011	23
J19G00000000-17	2010	2
032300000004-43	2012	41
001200000991-35	2012	56
001200000991-35	2011	42
024500000007-35	2014	31
024500000007-35	2013	16
024500000007-35	2012	25
024500000007-35	2011	25
024500000007-35	2010	27
985600042410-35	2012	4
831100000003-11	2013	3
831100000003-11	2011	3
831100000003-11	2010	1
985600042380-35	2012	18
985600042380-35	2011	17
J7NE00000000-31	2014	1
000300000995-42	2011	27
IXYJ00000002-31	2014	4
045000000000-53	2010	16
016300000002-35	2013	51
985601000990-35	2010	11
J09N00000007-35	2015	7
J09N00000007-35	2014	8
J09N00000007-35	2012	21
985601325016-43	2015	1
192900000005-15	2015	7
192900000005-15	2014	14
192900000005-15	2013	7
192900000005-15	2012	3
192900000005-15	2011	7
192900000005-15	2010	6
020100000007-43	2010	47
985600042231-35	2012	8
JGDG00000007-42	2010	1
118000000000-35	2010	14
342800000000-42	2012	20
GBIM00000005-35	2010	5
028200000004-35	2010	1
616300000000-27	2013	1
J8YF00000008-43	2015	4
J8YF00000008-43	2014	7
520400000004-43	2013	1
520400000004-43	2011	5
0PT000000000-33	2015	2
0PT000000000-33	2014	6
0PT000000000-33	2013	3
0PT000000000-33	2012	8
000300000995-31	2011	59
306200000002-52	2013	4
306200000002-52	2012	1
622800000004-26	2010	1
014200000004-33	2012	14
000800000994-41	2015	18
898500000001-29	2010	29
IW1X00000000-35	2015	16
546000000000-13	2011	6
423400000002-43	2010	28
002300000991-35	2013	5
002300000991-35	2012	10
002300000991-35	2010	6
002600000997-35	2015	2
002600000997-35	2014	9
002600000997-35	2012	3
002600000997-35	2011	2
002500000995-35	2015	14
002500000995-35	2013	6
081200000000-33	2011	10
167400000005-35	2011	1
351100000006-31	2012	9
IZEE00000008-27	2014	1
IZEE00000008-27	2013	1
IZEE00000008-27	2012	2
005200000005-33	2015	1
496800000005-32	2015	10
496800000005-32	2012	10
496800000005-32	2011	11
496800000005-32	2010	5
985601001997-35	2012	15
IZ8V00000005-52	2010	12
000600000990-42	2010	25
003300000000-31	2013	6
003300000000-31	2010	14
301700000000-35	2015	24
301700000000-35	2013	36
301700000000-35	2012	29
985600084597-29	2013	2
985600084597-29	2012	1
985600084597-29	2010	3
JP3V00000000-23	2010	5
583900000001-35	2011	22
626000000002-31	2014	13
JHU600000000-33	2013	3
JHU600000000-33	2010	2
012000000004-33	2012	1
294600000002-31	2010	10
009200000008-23	2014	69
001200000991-41	2011	4
438600000004-23	2010	29
461400000005-33	2010	10
000700000992-41	2011	18
985600126826-42	2012	5
032601001077-33	2014	5
032601001077-33	2012	5
032601001077-33	2011	2
032601001077-33	2010	2
IW9W00000003-29	2015	14
015100000000-53	2015	3
015100000000-53	2014	3
015100000000-53	2012	4
015100000000-53	2011	1
015100000000-53	2010	3
IW1X00000000-35	2011	21
IW1X00000000-35	2010	27
420700000003-35	2013	35
420700000003-35	2012	54
420700000003-35	2010	34
001900000994-53	2013	1
001900000994-53	2012	1
001900000994-53	2010	2
482100000002-35	2015	11
539700000000-31	2012	3
539700000000-31	2010	1
120600000002-41	2015	51
120600000002-41	2014	67
J44200000003-33	2012	4
046100000000-28	2013	18
091600000005-52	2010	2
985601108929-35	2013	3
009200000008-28	2013	24
501500000000-23	2015	5
501500000000-23	2013	11
501500000000-23	2011	17
530400000001-31	2014	28
IW1F00000003-25	2012	7
450400000000-41	2015	17
045100000002-53	2014	6
309500000002-43	2014	56
309500000002-43	2011	77
294600000002-31	2015	9
294600000002-31	2014	17
450700000005-53	2011	1
166100000001-27	2012	9
J13700000002-31	2011	1
IZMS00000009-35	2010	1
000500000999-43	2015	25
802500000007-35	2014	20
002000000996-53	2011	1
445200000000-42	2015	38
428800000000-22	2013	83
497100000000-35	2014	28
497100000000-35	2010	17
309100000005-35	2012	3
051600000006-53	2014	4
051600000006-53	2013	9
051600000006-53	2012	9
051600000006-53	2011	12
002200000990-31	2014	13
IW1F00000003-25	2011	5
IZEE00000008-35	2010	13
985600168324-29	2015	1
985600168324-29	2012	2
000500000999-41	2014	13
000500000999-41	2012	86
015100000000-23	2013	1
015100000000-23	2012	1
000600000990-35	2015	70
661500000000-31	2015	32
985608317159-35	2015	3
985608317159-35	2012	4
985608317159-35	2011	1
JIDJ00000007-29	2014	36
001600000999-35	2011	32
000500000999-33	2013	21
985600188120-41	2011	8
IZEE00000008-25	2012	2
422900000003-35	2015	32
120600000002-41	2013	37
J17T00000009-35	2015	1
J17T00000009-35	2012	2
J17T00000009-35	2011	1
J17T00000009-35	2010	5
IZDL00000004-35	2010	1
089400000000-26	2012	3
IZIX00000009-43	2015	5
IZIX00000009-43	2014	5
985600219158-26	2014	1
985600219158-26	2013	5
985600219158-26	2012	2
000300000995-41	2010	15
015100000000-35	2015	2
015100000000-35	2011	3
J01K00000006-35	2013	15
985607542396-42	2015	1
985607542396-42	2014	1
985607542396-42	2013	2
985607542396-42	2012	4
985607542396-42	2011	1
985607542396-42	2010	2
016300000002-35	2012	26
IXH700000003-31	2014	2
IXH700000003-31	2013	1
062200000004-51	2010	60
066700000006-35	2011	15
J0S200000007-33	2013	3
000300000995-42	2010	39
885400000008-43	2012	47
000700000003-35	2013	24
001600000999-26	2011	3
413700000000-31	2011	5
003900000001-13	2015	21
003900000001-13	2013	35
985601004481-35	2010	2
985600042231-35	2015	11
985600042231-35	2014	13
985600042231-35	2013	9
985600042231-35	2011	6
985600042231-35	2010	5
985601336565-31	2012	2
055600000009-33	2013	7
985600042339-35	2015	6
985600042339-35	2013	7
045000000000-53	2011	20
099200000003-33	2012	13
000200000993-51	2011	7
J9QN00000008-22	2012	3
J9QN00000008-22	2011	1
IXGI00000007-25	2014	6
009100000006-53	2012	1
009100000006-53	2011	3
001000000998-43	2011	5
985600151383-53	2014	6
171400000003-52	2011	28
586600000000-33	2010	24
985600971399-35	2014	4
002400000993-35	2014	13
001600000999-35	2013	19
583900000001-35	2015	19
583900000001-35	2012	110
000900000996-23	2010	4
0RXO00000003-43	2014	3
0RXO00000003-43	2012	3
0RXO00000003-43	2011	1
0RXO00000003-43	2010	1
985600169126-43	2011	22
000900000996-33	2015	11
002600000997-53	2015	5
002600000997-53	2014	5
002600000997-53	2013	1
166100000001-27	2015	15
166100000001-27	2013	17
166100000001-27	2011	12
166100000001-27	2010	12
425500000000-50	2011	6
425500000000-50	2010	16
377400000005-33	2011	22
014500000000-25	2015	1
014500000000-25	2014	1
014500000000-25	2010	2
777300000009-35	2013	5
057200000008-35	2015	32
057200000008-35	2013	19
057200000008-35	2011	31
000700000992-53	2015	6
000400000997-26	2015	13
000400000997-26	2012	15
660300000008-35	2013	16
434800000005-35	2012	133
071800000004-31	2013	16
426500000009-22	2012	23
000700000003-35	2014	49
003200000998-35	2014	6
J4XE00000009-41	2011	1
IY9600000005-31	2015	10
IY9600000005-31	2014	10
154900000002-29	2012	7
000900000996-51	2012	1
985600189844-41	2014	3
985600189844-41	2011	2
985600189844-41	2010	1
154800000000-35	2011	7
J2BG00000001-41	2015	6
J2BG00000001-41	2012	7
842100000009-53	2012	5
000300000995-31	2015	22
001100000990-27	2014	2
001100000990-27	2012	1
001100000990-27	2011	1
001100000990-27	2010	2
000400000997-52	2015	11
000400000997-52	2012	8
000400000997-52	2011	10
000400000997-52	2010	13
001000000998-32	2011	2
002700000999-35	2013	8
002700000999-35	2012	8
002700000999-35	2011	2
002700000999-35	2010	5
001200000991-23	2011	3
000200000993-53	2013	8
192900000005-27	2015	59
311500000004-53	2015	3
311500000004-53	2013	3
001200000991-23	2012	1
008200000000-43	2012	7
000700000992-27	2014	3
006900000006-35	2012	46
416900000009-50	2014	2
066700000006-35	2013	10
502700000001-26	2015	21
502700000001-26	2012	19
478500000001-35	2015	13
478500000001-35	2013	10
001500000997-41	2014	5
001500000997-41	2013	3
001500000997-41	2010	7
485400000002-35	2014	1
173800000007-31	2010	37
630000000000-23	2010	5
J6V200000003-35	2012	10
000500000999-41	2010	10
J12600000002-35	2013	2
985601111113-35	2015	4
156200000006-33	2010	9
466400000006-31	2013	7
