idDaInstituicao	anoDePublicacao	total
004000000003-23	2011	347
004000000003-23	2010	270
811900000003-25	2015	54
811900000003-25	2010	62
033200000000-51	2010	511
004400000000-27	2013	934
780900000000-43	2010	51
446900000000-25	2010	406
006200000003-35	2015	2904
006200000003-35	2013	3419
006200000003-35	2011	3749
024000000008-53	2012	1471
008700000009-43	2015	10
008700000009-43	2013	6
008700000009-43	2012	9
008700000009-43	2011	6
008700000009-43	2010	4
003900000001-26	2015	92
003900000001-26	2014	105
003900000001-26	2013	146
003900000001-26	2012	106
001500000008-31	2013	1171
350700000009-33	2015	67
350700000009-33	2011	52
004300000009-42	2014	2911
039200000000-32	2015	994
039200000000-32	2014	943
039200000000-32	2013	856
039200000000-32	2012	854
039200000000-32	2011	847
039200000000-32	2010	772
000600000001-43	2015	1034
000600000001-43	2014	803
000600000001-43	2013	786
000600000001-43	2012	1036
000600000001-43	2010	905
021100000005-33	2011	552
306200000002-35	2014	176
065800000000-35	2010	381
I3CJ00000006-50	2015	266
I3CJ00000006-50	2014	279
I3CJ00000006-50	2013	288
I3CJ00000006-50	2012	273
I3CJ00000006-50	2011	228
387300000000-32	2012	94
387300000000-32	2011	87
000900000996-33	2012	16
008700000009-35	2015	478
008700000009-35	2014	658
008700000009-35	2013	499
008700000009-35	2012	503
008700000009-35	2011	475
008700000009-35	2010	799
007000000008-28	2015	664
007000000008-28	2011	602
008400000003-13	2015	653
008400000003-13	2012	341
000600000990-43	2013	14
000600000990-43	2012	12
412700000002-43	2014	249
460900000006-41	2014	49
460900000006-41	2011	44
000300000006-31	2013	1131
431200000000-43	2015	18
431200000000-43	2012	36
431200000000-43	2011	48
431200000000-43	2010	32
000500000000-33	2012	1405
000500000000-33	2011	1209
000500000000-33	2010	1078
000300000995-33	2015	20
001200000991-35	2015	30
010600000009-52	2015	1240
010600000009-52	2014	1418
010600000009-52	2013	1711
010600000009-52	2011	1034
010600000009-52	2010	1193
478800000007-35	2015	163
478800000007-35	2014	158
478800000007-35	2013	158
478800000007-35	2012	210
478800000007-35	2011	186
478800000007-35	2010	226
032100000000-35	2011	161
016700000000-43	2011	611
016700000000-43	2010	486
867100000004-31	2015	258
000100000002-21	2015	377
000100000002-21	2013	366
000100000002-21	2012	321
000100000002-21	2010	292
000500000999-53	2012	10
032300000004-22	2015	480
032300000004-22	2014	484
000300000995-33	2011	34
001500000008-31	2015	992
001500000008-31	2014	1086
001500000008-31	2011	963
001500000008-31	2010	995
046100000000-28	2015	14
046100000000-28	2014	18
350300000001-33	2012	4
005900000008-41	2013	388
024700000000-35	2012	189
002800000001-31	2013	299
002800000001-31	2010	232
768700000007-35	2012	76
000200000993-31	2011	48
003900000001-11	2015	7
003900000001-11	2014	6
520900000003-31	2013	32
520900000003-31	2011	39
520900000003-31	2010	34
000900000007-43	2014	195
009200000008-50	2015	76
009200000008-50	2013	118
009200000008-50	2012	101
009200000008-50	2011	116
009200000008-50	2010	115
000800000994-53	2012	10
038400000005-43	2012	522
038400000005-43	2010	552
000300000006-31	2015	1192
000300000006-31	2014	1370
000300000006-31	2010	866
011100000008-33	2014	520
011100000008-33	2012	394
011100000008-33	2011	432
011100000008-33	2010	371
985600079623-23	2015	10
985600079623-23	2012	5
985600079623-23	2010	9
294800000006-33	2013	60
294800000006-33	2012	68
412700000002-43	2015	215
412700000002-43	2013	237
004500000002-43	2015	1683
004500000002-43	2014	2240
004500000002-43	2010	1300
000500000000-33	2015	1253
004300000009-42	2012	2534
032603005010-33	2013	1
125200000006-42	2015	276
125200000006-42	2014	291
125200000006-42	2013	286
125200000006-42	2012	358
125200000006-42	2011	244
125200000006-42	2010	238
009200000008-43	2015	129
009200000008-43	2013	178
009200000008-43	2012	150
009200000008-43	2011	174
009200000008-43	2010	191
IXXU00000008-35	2011	92
