ID_da_instituicao	ID_da_subdisciplina	Ano	Publicacoes
003900000001	138	2013	127
006700000002	443	2011	70
006700000002	454	2010	410
032900000005	215	2015	8
032900000005	69	2014	5
032900000005	59	2014	2
032900000005	402	2014	13
032900000005	249	2012	22
032900000005	429	2011	109
032900000005	456	2011	23
032900000005	454	2010	23
033700000000	165	2012	4
024000000008	18	2015	13
024000000008	306	2015	2
024000000008	56	2015	3
024000000008	56	2013	4
020200000009	138	2014	35
020200000009	456	2014	19
020200000009	67	2011	11
020200000009	67	2010	11
006700000002	51	2015	56
006700000002	506	2013	13
006700000002	130	2012	33
006700000002	471	2012	13
006700000002	6	2012	243
006700000002	471	2011	15
006700000002	506	2011	25
006700000002	130	2010	51
006700000002	139	2010	65
006700000002	32	2010	56
IZF500000008	457	2014	2
IZF500000008	457	2012	3
024000000008	442	2014	22
008400000003	196	2010	6
001501001016	263	2015	1
001501001016	406	2014	1
001501001016	521	2013	5
001501001016	521	2011	10
001501001016	201	2010	2
001501001016	521	2010	9
061400000000	9	2015	2
061400000000	19	2014	7
061400000000	424	2014	7
061400000000	9	2013	5
061400000000	454	2013	7
061400000000	424	2012	7
061400000000	205	2012	2
061400000000	190	2011	3
061400000000	424	2011	4
061400000000	163	2011	1
061400000000	424	2010	9
061400000000	20	2010	4
032600000000	304	2015	5
032600000000	449	2015	11
032600000000	190	2014	7
032600000000	84	2014	2
032600000000	454	2013	68
032600000000	449	2013	11
032600000000	55	2013	11
032600000000	340	2013	9
000600000001	119	2011	1
006700000002	135	2012	61
006700000002	31	2011	39
006700000002	523	2011	245
006700000002	262	2010	95
006700000002	135	2010	96
081100000009	416	2015	9
081100000009	10	2014	7
081100000009	263	2014	12
081100000009	482	2012	1
081100000009	482	2011	1
019200000005	413	2015	46
019200000005	413	2012	50
033500000006	99	2015	5
033200000000	278	2015	2
033200000000	1	2015	3
033200000000	238	2015	2
033200000000	262	2014	1
033200000000	73	2014	6
033200000000	262	2013	1
033200000000	441	2013	1
033200000000	82	2013	2
033200000000	42	2013	27
033200000000	238	2012	2
033200000000	523	2012	8
033200000000	441	2011	1
033200000000	262	2011	1
033200000000	238	2011	3
192900000005	454	2010	2
586600000000	73	2012	2
006700000002	320	2012	46
006700000002	18	2010	86
001200000991	24	2011	4
009200000008	284	2015	81
009200000008	227	2015	68
009200000008	284	2014	128
009200000008	49	2013	48
009200000008	523	2013	44
009200000008	227	2013	86
009200000008	49	2012	59
009200000008	284	2012	225
009200000008	429	2011	358
009200000008	284	2011	238
009200000008	284	2010	260
006700000002	2	2013	196
006700000002	457	2012	310
006700000002	24	2012	32
006700000002	76	2011	52
006700000002	203	2010	88
006700000002	24	2010	48
033300000002	504	2014	2
807700000001	300	2014	1
807700000001	238	2013	2
449300000004	49	2010	1
000200000993	192	2010	3
029100000000	138	2011	34
029100000000	456	2011	8
JCPL00000005	340	2015	1
JCPL00000005	523	2015	1
JCPL00000005	116	2015	3
JCPL00000005	116	2014	1
JCPL00000005	454	2014	2
JCPL00000005	116	2013	1
008000000006	463	2014	1
008000000006	176	2013	5
008000000006	176	2012	2
008000000006	176	2010	4
008900000002	457	2010	13
033300000002	32	2011	8
IYD400000002	19	2015	1
020200000009	179	2012	31
004400000000	14	2015	4
007400000005	398	2015	2
007400000005	484	2015	2
007400000005	483	2014	1
007400000005	484	2014	1
007400000005	455	2014	1
007400000005	484	2013	1
007400000005	153	2011	1
007400000005	484	2011	1
007400000005	153	2010	1
007400000005	484	2010	1
008900000002	514	2014	28
007900000004	525	2014	27
007900000004	89	2013	10
007900000004	76	2011	31
080400000006	125	2010	16
117700000004	530	2012	1
038400000005	19	2011	7
J1GS00000009	11	2014	1
004100000005	4	2014	21
004100000005	146	2014	4
004100000005	1	2014	15
004100000005	9	2014	12
004100000005	40	2014	12
