Ano	ID_da_microregiao	Nome_da_microregiao	Valor_bruto_agropecuaria	Valor_bruto_industria	Valor_bruto_servicos	Valor_bruto_administracao	Valor_bruto_total	Impostos	PIB	Populacao	PIB_per_capita
2010	22008	Bertolínia	69961.0	64780.0	63966.0	89312.0	288021.0	21648.0	309671.0	40688.0	76568.32
2010	22006	Valença do Piauí	37961.0	18291.0	115681.0	216907.0	388842.0	26064.0	414901.0	104016.0	54094.69
2010	22013	Picos	68603.0	94010.0	525168.0	403630.0	1091409.0	124695.0	1216103.0	199654.0	81708.87000000001
2010	22012	Chapadas do Extremo Sul Piauiense	56305.0	30425.0	95674.0	175432.0	357837.0	22707.0	380544.0	82578.0	37865.00000000001
2010	22007	Alto Parnaíba Piauiense	250578.0	118460.0	161926.0	100380.0	631345.0	98060.0	729404.0	43605.0	59029.119999999995
2010	22001	Baixo Parnaíba Piauiense	78618.0	84535.0	367148.0	672195.0	1202499.0	82467.0	1284965.0	329404.0	62460.57999999999
2010	22002	Litoral Piauiense	89605.0	157321.0	598247.0	609425.0	1454601.0	140521.0	1595121.0	303544.0	57775.23
2010	22009	Floriano	58293.0	211868.0	348215.0	257607.0	875984.0	86315.0	962300.0	121724.0	68207.49
2010	23033	Brejo Santo	58091.0	26824.0	177147.0	188332.0	450395.0	33750.0	484145.0	99871.0	23133.81
2010	23013	Baturité	246466.0	61771.0	246168.0	386179.0	940585.0	34245.0	974828.0	186971.0	61093.479999999996
2010	23001	Litoral de Camocim e Acaraú	178909.0	271994.0	493188.0	708895.0	1652982.0	103407.0	1756390.0	360914.0	54933.35999999999
2010	23021	Sertão de Senador Pompeu	121070.0	52110.0	271117.0	411506.0	855800.0	46011.0	901810.0	217644.0	33712.979999999996
2010	23020	Sertão de Inhamuns	67507.0	28163.0	178382.0	279888.0	553942.0	31214.0	585157.0	145438.0	22348.97
2010	23004	Meruoca	9448.0	4514.0	18319.0	49740.0	82022.0	2771.0	84794.0	24466.0	6925.15
2010	23030	Caririaçu	24324.0	17218.0	52432.0	115062.0	209035.0	8803.0	217839.0	56871.0	15271.89
2010	23023	Baixo Jaguaribe	407304.0	356164.0	671262.0	603015.0	2037745.0	207575.0	2245318.0	313596.0	63525.649999999994
2010	23008	Itapipoca	123245.0	259175.0	352644.0	385431.0	1120494.0	89160.0	1209654.0	206730.0	17342.43
2010	23027	Várzea Alegre	42258.0	32485.0	118645.0	184205.0	377593.0	20905.0	398498.0	96712.0	19956.72
2010	23011	Médio Curu	43177.0	46340.0	105395.0	170391.0	365304.0	21023.0	386327.0	84727.0	21428.27
2010	23016	Fortaleza	190942.0	10206674.0	23824278.0	6488163.0	40710057.0	7522804.0	48232862.0	3345697.0	111762.63999999998
2010	23022	Litoral de Aracati	121949.0	138990.0	288871.0	221783.0	771592.0	63738.0	835331.0	109732.0	25907.230000000003
2010	23018	Sertão de Cratéus	81984.0	70598.0	362945.0	470927.0	986454.0	62095.0	1048551.0	240791.0	36025.59
2010	23029	Chapada do Araripe	48692.0	18989.0	120276.0	189517.0	377474.0	18216.0	395690.0	95376.0	20608.950000000004
2010	23031	Barro	65321.0	28273.0	98706.0	166548.0	358849.0	20442.0	379291.0	90318.0	12598.19
2010	23028	Lavras da Mangabeira	28115.0	11809.0	55974.0	105303.0	201201.0	10135.0	211336.0	56681.0	15064.56
