nome,id
Ma-Bom Jardim,2102002
Ma-Bom Jesus das Selvas,2102036
Ma-Bom Lugar,2102077
Ma-Brejo,2102101
Ma-Brejo de Areia,2102150
Ma-Buriti,2102200
Ma-Buriti Bravo,2102309
Ma-Buriticupu,2102325
Ma-Buritirana,2102358
Ma-Cachoeira Grande,2102374
Ma-Cajapio,2102408
Ma-Cajari,2102507
Ma-Campestre do Maranhao,2102556
Ma-Candido Mendes,2102606
Ma-Cantanhede,2102705
Ma-Capinzal do Norte,2102754
Ma-Carolina,2102804
Ma-Carutapera,2102903
Ma-Caxias,2103000
Ma-Cedral,2103109
Ma-Central do Maranhao,2103125
Ma-Centro do Guilherme,2103158
Ma-Centro Novo do Maranhao,2103174
Ma-Chapadinha,2103208
Ma-Cidelandia,2103257
Ma-Codo,2103307
Ma-Coelho Neto,2103406
Ma-Colinas,2103505
Ma-Conceicao do Lago-Acu,2103554
Ma-Coroata,2103604
Ma-Cururupu,2103703
Ma-Davinopolis,2103752
Ma-Dom Pedro,2103802
Ma-Duque Bacelar,2103901
Ma-Esperantinopolis,2104008
Ma-Estreito,2104057
Ma-Feira Nova do Maranhao,2104073
Ma-Fernando Falcao,2104081
Ma-Formosa da Serra Negra,2104099
Ma-Fortaleza dos Nogueiras,2104107
Ma-Fortuna,2104206
Ma-Godofredo Viana,2104305
Ma-Goncalves Dias,2104404
Ma-Governador Archer,2104503
Ma-Governador Edison Lobao,2104552
Ma-Governador Eugenio Barros,2104602
Ma-Governador Luiz Rocha,2104628
Ma-Governador Newton Bello,2104651
Ma-Governador Nunes Freire,2104677
Ma-Graca Aranha,2104701
Ma-Grajau,2104800
Ma-Guimaraes,2104909
Ma-Humberto de Campos,2105005
Ma-Icatu,2105104
Ma-Igarape do Meio,2105153
Ma-Igarape Grande,2105203
Ma-Imperatriz,2105302
Ma-Itaipava do Grajau,2105351
Ma-Itapecuru Mirim,2105401
Ma-Itinga do Maranhao,2105427
Ma-Jatoba,2105450
Ma-Jenipapo dos Vieiras,2105476
Ma-Joao Lisboa,2105500
Ma-Joselandia,2105609
Ma-Junco do Maranhao,2105658
Ma-Lago da Pedra,2105708
Ma-Lago do Junco,2105807
Ma-Lago Verde,2105906
Ma-Lagoa do Mato,2105922
Ma-Lago dos Rodrigues,2105948
Ma-Lagoa Grande do Maranhao,2105963
Ma-Lajeado Novo,2105989
Ma-Lima Campos,2106003
Ma-Loreto,2106102
Ma-Luis Domingues,2106201
Ma-Magalhaes de Almeida,2106300
Ma-Maracacume,2106326
Ma-Maraja do Sena,2106359
Ma-Maranhaozinho,2106375
Ma-Mata Roma,2106409
Ma-Matinha,2106508
Ma-Matoes,2106607
Ma-Matoes do Norte,2106631
Ma-Milagres do Maranhao,2106672
Ma-Mirador,2106706
Ma-Miranda do Norte,2106755
Ma-Mirinzal,2106805
Ma-Moncao,2106904
Ma-Montes Altos,2107001
Ma-Morros,2107100
Ma-Nina Rodrigues,2107209
Ma-Nova Colinas,2107258
Ma-Nova Iorque,2107308
Ma-Nova Olinda do Maranhao,2107357
Ma-Olho D Agua das Cunhas,2107407
Ma-Olinda Nova do Maranhao,2107456
Ma-Paco do Lumiar,2107506
Ma-Palmeirandia,2107605
Ma-Paraibano,2107704
Ma-Parnarama,2107803
Ma-Passagem Franca,2107902
Ma-Pastos Bons,2108009
Ma-Paulino Neves,2108058
Ma-Paulo Ramos,2108108
Ma-Pedreiras,2108207
Ma-Pedro do Rosario,2108256
Ma-Penalva,2108306
Ma-Peri Mirim,2108405
Ma-Peritoro,2108454
Ma-Pindare-Mirim,2108504
Ma-Pinheiro,2108603
Ma-Pio Xii,2108702
Ma-Pirapemas,2108801
Ma-Pocao de Pedras,2108900
Ma-Porto Franco,2109007
Ma-Porto Rico do Maranhao,2109056
Ma-Presidente Dutra,2109106
Ma-Presidente Juscelino,2109205
Ma-Presidente Medici,2109239
Ma-Presidente Sarney,2109270
Ma-Presidente Vargas,2109304
Ma-Primeira Cruz,2109403
Ma-Raposa,2109452
Ma-Riachao,2109502
Ma-Ribamar Fiquene,2109551
Ma-Rosario,2109601
Ma-Sambaiba,2109700
Ma-Santa Filomena do Maranhao,2109759
Ma-Santa Helena,2109809
Ma-Santa Ines,2109908
Ma-Santa Luzia,2110005
Ma-Santa Luzia do Parua,2110039
Ma-Santa Quiteria do Maranhao,2110104
Ma-Santa Rita,2110203
Ma-Santana do Maranhao,2110237
Ma-Santo Amaro do Maranhao,2110278
Ma-Santo Antonio dos Lopes,2110302
Ma-Sao Benedito do Rio Preto,2110401
Ma-Sao Bento,2110500
Ma-Sao Bernardo,2110609
Ma-Sao Domingos do Azeitao,2110658
Ma-Sao Domingos do Maranhao,2110708
Ma-Sao Felix de Balsas,2110807
Ma-Sao Francisco do Brejao,2110856
Ma-Sao Francisco do Maranhao,2110906
Ma-Sao Joao Batista,2111003
Ma-Sao Joao do Caru,2111029
Ma-Sao Joao do Paraiso,2111052
Ma-Sao Joao do Soter,2111078
Ma-Sao Joao dos Patos,2111102
Ma-Sao Jose de Ribamar,2111201
Ma-Sao Jose dos Basilios,2111250
Ma-Sao Luis,2111300
Ma-Sao Luis Gonzaga do Maranhao,2111409
Ma-Sao Mateus do Maranhao,2111508
Ma-Sao Pedro da Agua Branca,2111532
Ma-Sao Pedro dos Crentes,2111573
Ma-Sao Raimundo das Mangabeiras,2111607
Ma-Sao Raimundo do Doca Bezerra,2111631
Ma-Sao Roberto,2111672
Ma-Sao Vicente Ferrer,2111706
Ma-Satubinha,2111722
Ma-Senador Alexandre Costa,2111748
Ma-Senador La Rocque,2111763
Ma-Serrano do Maranhao,2111789
Ma-Sitio Novo,2111805
Ma-Sucupira do Norte,2111904
Ma-Sucupira do Riachao,2111953
Ma-Tasso Fragoso,2112001
Ma-Timbiras,2112100
Ma-Timon,2112209
Ma-Trizidela do Vale,2112233
Ma-Tufilandia,2112274
Ma-Tuntum,2112308
Ma-Turiacu,2112407
Ma-Turilandia,2112456
Ma-Tutoia,2112506
Ma-Urbano Santos,2112605
Ma-Vargem Grande,2112704
Ma-Viana,2112803
Ma-Vila Nova dos Martirios,2112852
Ma-Vitoria do Mearim,2112902
Ma-Vitorino Freire,2113009
Ma-Ze Doca,2114007
Pi-Acaua,2200053
Pi-Agricolandia,2200103
Pi-Agua Branca,2200202
Pi-Alagoinha do Piaui,2200251
Pi-Alegrete do Piaui,2200277
Pi-Alto Longa,2200301
Pi-Altos,2200400
Pi-Alvorada do Gurgueia,2200459
Pi-Amarante,2200509
Pi-Angical do Piaui,2200608
Pi-Anisio de Abreu,2200707
Pi-Antonio Almeida,2200806
Pi-Aroazes,2200905
Pi-Aroeiras do Itaim,2200954
Pi-Arraial,2201002
Pi-Assuncao do Piaui,2201051
Pi-Avelino Lopes,2201101
Pi-Baixa Grande do Ribeiro,2201150
Pi-Barra D Alcantara,2201176
Pi-Barras,2201200
Pi-Barreiras do Piaui,2201309
Pi-Barro Duro,2201408
Pi-Batalha,2201507
Pi-Bela Vista do Piaui,2201556
Pi-Belem do Piaui,2201572
Pi-Beneditinos,2201606
Pi-Bertolinia,2201705
Pi-Betania do Piaui,2201739
Pi-Boa Hora,2201770
Pi-Bocaina,2201804
Pi-Bom Jesus,2201903
Pi-Bom Principio do Piaui,2201919
Pi-Bonfim do Piaui,2201929
Pi-Boqueirao do Piaui,2201945
Pi-Brasileira,2201960
Pi-Brejo do Piaui,2201988
Pi-Buriti dos Lopes,2202000
Pi-Buriti dos Montes,2202026
Pi-Cabeceiras do Piaui,2202059
Pi-Cajazeiras do Piaui,2202075
Pi-Cajueiro da Praia,2202083
Pi-Caldeirao Grande do Piaui,2202091
Pi-Campinas do Piaui,2202109
Pi-Campo Alegre do Fidalgo,2202117
Pi-Campo Grande do Piaui,2202133
Pi-Campo Largo do Piaui,2202174
Pi-Campo Maior,2202208
Pi-Canavieira,2202251
Pi-Canto do Buriti,2202307
Pi-Capitao de Campos,2202406
Pi-Capitao Gervasio Oliveira,2202455
Pi-Caracol,2202505
Pi-Caraubas do Piaui,2202539
Pi-Caridade do Piaui,2202554
Pi-Castelo do Piaui,2202604
Pi-Caxingo,2202653
Pi-Cocal,2202703
Pi-Cocal de Telha,2202711
Pi-Cocal dos Alves,2202729
Pi-Coivaras,2202737
Pi-Colonia do Gurgueia,2202752
Pi-Colonia do Piaui,2202778
Pi-Conceicao do Caninde,2202802
Pi-Coronel Jose Dias,2202851
Pi-Corrente,2202901
Pi-Cristalandia do Piaui,2203008
Pi-Cristino Castro,2203107
Pi-Curimata,2203206
Pi-Currais,2203230
Pi-Curralinhos,2203255
Pi-Curral Novo do Piaui,2203271
Pi-Demerval Lobao,2203305
Pi-Dirceu Arcoverde,2203354
Pi-Dom Expedito Lopes,2203404
Pi-Domingos Mourao,2203420
Pi-Dom Inocencio,2203453
Pi-Elesbao Veloso,2203503
Pi-Eliseu Martins,2203602
Pi-Esperantina,2203701
Pi-Fartura do Piaui,2203750
Pi-Flores do Piaui,2203800
Pi-Floresta do Piaui,2203859
Pi-Floriano,2203909
Pi-Francinopolis,2204006
